discoverymethod,description,periastrontime,discoveryyear,eccentricity,semimajoraxis,period,name,mass,periastron,list,lastupdate
RV,This planet was discovered by Tuomi et al. 2014. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2014,0.100000,0.898000,526.11500000,GJ 229 b,0.02667,199.0000,Confirmed planets,20/02/13
RV,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.190000,0.339000,121.99500000,GJ 229 c,0.02287,121.0000,Confirmed planets,20/02/13
RV,This planet was discovered by Stock et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Stock et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.100000,0.081800,14.23800000,GJ 251 b,0.01259,78.8000,Confirmed planets,21/03/04
RV,This planet was discovered by Tuomi et al. 2014. This was a ground based discovery. The parameters listed here are those reported by Tuomi et al. 2014 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2014,0.080000,0.101000,15.81900000,GJ 27.1 b,0.04090,150.0000,Confirmed planets,19/10/10
RV,Data for this planet was imported from the exoplanet.eu database.,,2017,0.1,0.091101,18.6498,GJ 273 b,0.00909,,Confirmed planets,17/03/21
RV,Data for this planet was imported from the exoplanet.eu database.,,2017,0.17,0.036467,4.7234,GJ 273 c,0.00371,,Confirmed planets,17/03/21
RV,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.220000,0.079000,11.94900000,GJ 3082 b,0.02580,121.0000,Confirmed planets,20/02/13
transit,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,0.18,0.03165,2.8531054,GJ 3090 b,0.01051,137.0,Confirmed planets,22/07/29
RV,Data for this planet was imported from the exoplanet.eu database.,,2017,0.11,0.057,5.974,GJ 3138 b,0.0132,,Confirmed planets,17/03/21
RV,Data for this planet was imported from the exoplanet.eu database.,,2017,0.19,0.0197,1.22003,GJ 3138 c,0.0056,,Confirmed planets,17/03/21
RV,Data for this planet was imported from the exoplanet.eu database.,,2017,0.32,0.698,257.8,GJ 3138 d,0.033,,Confirmed planets,17/03/21
RV,This planet was discovered by Johnson et al. 2007. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2007,0.070000,1.151000,695.66000000,GJ 317 b,1.75282,72.0000,Confirmed planets,20/09/03
RV,This planet was discovered by Bryan et al. 2016. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2018,0.170000,5.230000,6739.32300000,GJ 317 c,1.64396,108.0000,Confirmed planets,20/09/03
RV,This planet was discovered by Feng et al. 2022. This was a ground based discovery. The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2022,0.929006,0.091179,10.66668640,GJ 3222 b,0.03694,290.8950,Confirmed planets,22/09/27
RV,Data for this planet was imported from the exoplanet.eu database.,,2017,0.23,0.03282,5.3636,GJ 3323 b,0.00636,,Confirmed planets,17/03/21
RV,Data for this planet was imported from the exoplanet.eu database.,,2017,0.17,0.1264,40.54,GJ 3323 c,0.00727,,Confirmed planets,17/03/21
RV,This planet was discovered by González-Álvarez et al. 2020. This was a ground based discovery. The parameters listed here are those reported by González-Álvarez et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.110000,0.141000,24.45000000,GJ 338 B b,0.03231,204.3000,Confirmed planets,20/07/09
transit,This planet was discovered by Kemmer et al. 2020. The discovery was made with a space based telescope (0.1 m TESS Telescope). The parameters listed here are those reported by Kemmer et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.000000,0.015890,1.19800350,GJ 3473 b,0.00585,,Confirmed planets,20/10/22
RV,This planet was discovered by Kemmer et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Kemmer et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.000000,0.087600,15.50900000,GJ 3473 c,0.02331,,Confirmed planets,20/10/22
RV,This planet was discovered by Morales et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Morales et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,0.435600,0.338000,203.59000000,GJ 3512 b,0.46300,125.4900,Confirmed planets,19/10/10
transit,This planet was discovered by Luque et al. 2019. The discovery was made with a space based telescope (0.1 m TESS Telescope). The parameters listed here are those reported by Luque et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,,0.035000,3.93072000,GJ 357 b,0.00579,,Confirmed planets,19/08/15
RV,This planet was discovered by Luque et al. 2019. The parameters listed here are those reported by Luque et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,,0.061000,9.12470000,GJ 357 c,0.01070,,Confirmed planets,19/08/01
RV,This planet was discovered by Luque et al. 2019. The parameters listed here are those reported by Luque et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,,0.204000,55.66100000,GJ 357 d,0.01919,,Confirmed planets,19/08/01
transit,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,,0.0071,0.321962,GJ 367 b,0.001718,,Confirmed planets,21/12/02
RV,This planet was discovered by Luque et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Luque et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2018,0.070000,0.026000,3.02320000,GJ 3779 b,0.02517,225.0000,Confirmed planets,18/12/06
transit,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,0.02569,2.6162745,GJ 3929 b,0.00381,,Confirmed planets,22/02/03
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,0.078,14.303,GJ 3929 c,0.01658,,Confirmed planets,22/02/03
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,,0.05402,7.02679,GJ 393 b,0.00538,,Confirmed planets,21/05/31
RV,This planet was discovered by Perger et al. 2017. This was a ground based discovery. The parameters listed here are those reported by Perger et al. 2017 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2017,0.121000,0.060800,6.90500000,GJ 3942 b,0.02246,112.7000,Confirmed planets,17/12/21
RV,This planet was discovered by Affer et al. 2016. This was a ground based discovery. The parameters listed here are those reported by Affer et al. 2016 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2016,0.000000,0.029000,2.64977000,GJ 3998 b,0.00777,,Confirmed planets,16/07/28
RV,This planet was discovered by Affer et al. 2016. This was a ground based discovery. The parameters listed here are those reported by Affer et al. 2016 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2016,0.049000,0.089000,13.74000000,GJ 3998 c,0.01970,,Confirmed planets,16/07/28
RV,This planet was discovered by Díaz et al. 2019. This was a ground based discovery. The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,0.120000,0.078900,12.94600000,GJ 411 b,0.00846,140.7000,Confirmed planets,21/06/17
RV,This planet was discovered by Rosenthal et al. 2021. This was a ground based discovery. The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.140000,3.100000,3190.00000000,GJ 411 c,0.05680,5.7296,Confirmed planets,21/06/17
RV,"This is a sub-Neptune mass planet in a two-planet system. The outer planet in this system is a potential candidate for future direct imaging missions. The planets have been discovered by analyzing radial velocity data from Keck/HIRES and the Automated Planet Finder at Lick Observatory, as well as photometric data from KELT. The star also has a dwarf star companion at a projected distance of 408 AU.",,2021,0.450000,0.232400,50.80000000,GJ 414 A b,0.02391,111.0000,Confirmed planets,21/04/02
RV,"This is a sub-Saturn mass planet in a two-planet system. It is a potential candidate for future direct imaging missions. The planets have been discovered by analyzing radial velocity data from Keck/HIRES and the Automated Planet Finder at Lick Observatory, as well as photometric data from KELT. The star also has a dwarf star companion at a projected distance of 408 AU.",,2021,0.105000,1.400000,749.83000000,GJ 414 A c,0.16937,74.0000,Confirmed planets,21/04/02
RV,This planet was discovered by Tuomi et al. 2014. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2014,0.110000,0.111000,20.12900000,GJ 422 b,0.03483,265.0000,Confirmed planets,20/02/13
RV,This planet was discovered by Nagel et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Nagel et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,0.370000,0.082000,13.35200000,GJ 4276 b,0.05213,216.8300,Confirmed planets,19/01/24
RV,This planet was discovered by Bonfils et al. 2013. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2011,0.040000,0.062000,7.37050000,GJ 433 b,0.01901,154.0000,Confirmed planets,20/02/13
RV,This planet was discovered by Tuomi et al. 2014. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2014,0.120000,4.819000,5094.10500000,GJ 433 c,0.10201,242.0000,Confirmed planets,20/02/13
RV,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.070000,0.178000,36.05900000,GJ 433 d,0.01643,159.0000,Confirmed planets,20/02/13
RV,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.100000,0.068000,9.56700000,GJ 480 b,0.04153,151.0000,Confirmed planets,20/09/03
transit,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,,0.01734,1.467119,GJ 486 b,0.00887,,Confirmed planets,21/03/05
RV,This planet was discovered by Damasso et al. 2022. The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2022,0.450000,0.422000,140.43000000,GJ 514 b,0.01636,-143.0000,Confirmed planets,22/04/01
RV,Data for this planet was imported from the exoplanet.eu database.,,2016,0.08,0.06661,8.7076,GJ 536 b,0.0169,288.7,Confirmed planets,16/11/08
RV,This planet was discovered by Suárez Mascareño et al. 2017. This was a ground based discovery. The parameters listed here are those reported by Suárez Mascareño et al. 2017 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2017,0.130000,0.078361,14.62800000,GJ 625 b,0.00887,343.1000,Confirmed planets,17/09/28
RV,The planet candidates orbiting GJ 682 were identified by Bayesian analysis of 49 UVES and 12 HARPS radial velocity measurements.,,2014,0.08,0.080,17.478,GJ 682 b,0.014,90,Controversial,15/04/21
RV,The planet candidates orbiting GJ 682 were identified by Bayesian analysis of 49 UVES and 12 HARPS radial velocity measurements.,,2014,0.10,0.176,57.32,GJ 682 c,0.027,320,Controversial,15/04/21
RV,This planet was discovered by Pinamonti et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Pinamonti et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,0.000000,0.134400,24.16000000,GJ 685 b,0.02832,,Confirmed planets,19/04/11
RV,This planet was discovered by Burt et al. 2014. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2014,0.170000,0.163000,38.14200000,GJ 687 b,0.05412,117.0000,Confirmed planets,20/09/03
RV,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.400000,1.165000,727.56200000,GJ 687 c,0.05034,176.0000,Confirmed planets,20/09/03
RV,This planet was discovered by González-Álvarez et al. 2021. This was a ground based discovery. The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.120000,0.119000,19.46600000,GJ 720 A b,0.04292,110.2200,Confirmed planets,21/07/21
RV,A possible planet candidate around GJ 725 B was identified by Berdiñas et al. (2016). Further observations are necessary to verify that the RV variations are periodic.,,2016,,,2.7,GJ 725 B b,0.00378,,Controversial,17/12/01
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,0.24,0.029,2.37756,GJ 740 b,0.00931,319.0,Confirmed planets,21/02/19
RV,This planet was discovered by Jeffers et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Jeffers et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.000000,0.068000,9.26200000,GJ 887 b,0.01321,,Confirmed planets,20/07/09
RV,This planet was discovered by Jeffers et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Jeffers et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,,0.120000,21.78900000,GJ 887 c,0.02391,,Confirmed planets,20/07/09
astrometry,"EQ Pegasi (GJ 896) is a nearby binary system of two red dwarf stars, with a Jovian planet in orbit around the primary star, discovered using radio astrometry.",2455702.65,2022,0.35,0.64282,284.39,GJ 896 A b,2.26,353.11,Confirmed planets,22/09/29
RV,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.180000,0.403000,241.88300000,GJ 9066 b,0.09722,204.0000,Confirmed planets,20/09/03
RV,This planet was discovered by Feng et al. 2020. This was a ground based discovery. The parameters listed here are those reported by Feng et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2020,0.330000,0.870000,767.88700000,GJ 9066 c,0.22528,278.0000,Confirmed planets,20/09/03
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,0.29,0.1139,18.27,GJ 9689 b,0.03036,173.7,Confirmed planets,21/05/14
RV,This planet was discovered by Hobson et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Hobson et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2018,0.440000,0.291000,73.94000000,GJ 96 b,0.06186,339.5800,Confirmed planets,18/11/08
RV,This planet was discovered by Feng et al. 2022. This was a ground based discovery. The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2022,0.155099,12.341073,19240.75467009,GJ 9714 b,9.60029,92.1304,Confirmed planets,22/09/27
transit,This planet was discovered by Niraula et al. 2017. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Rice et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2017,0.000000,0.018800,1.20898190,GJ 9827 b,0.01545,,Confirmed planets,19/08/29
transit,This planet was discovered by Niraula et al. 2017. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Rice et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2017,0.000000,0.039250,3.64809570,GJ 9827 c,0.00264,,Confirmed planets,19/08/29
transit,This planet was discovered by Niraula et al. 2017. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Rice et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2017,0.000000,0.055910,6.20146980,GJ 9827 d,0.01271,,Confirmed planets,19/08/29
RV,This planet was discovered by Hobson et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Hobson et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,0.109000,0.039435,3.82200000,Gl 378 b,0.04097,210.6000,Confirmed planets,19/03/05
RV,This planet was discovered by Affer et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Lalitha et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2018,0.077000,0.091700,15.53140000,Gl 686 b,0.02089,,Confirmed planets,19/06/13
transit,"Gliese 1214 is a red dwarf in the constellation Ophiuchus only 40 light years away. The planet was found with a 40cm telescope and commercially available cameras. New observations from NASA's Hubble Space Telescope show that it is a waterworld enshrouded by a thick, steamy atmosphere. GJ1214b represents a new type of planet, like nothing seen in our solar system or any other planetary system currently known.",,2009,,0.01411,1.580404497,Gliese 1214 b,0.02571,,Confirmed planets,21/08/02
RV,This planet was discovered by Howard et al. 2014. This was a ground based discovery. The parameters listed here are those reported by Pinamonti et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2014,0.094000,0.072000,11.44070000,GJ 15 A b,0.00953,55.0000,Confirmed planets,19/10/10
RV,This planet was discovered by Pinamonti et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Pinamonti et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2018,0.270000,5.400000,7600.00000000,GJ 15 A c,0.11327,-58.4000,Confirmed planets,19/10/10
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2012,0.02,0.06,8.6312,Gliese 163 b,0.0311,74.73,Confirmed planets,19/06/14
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2012,0.03,0.124,25.637,Gliese 163 c,0.0239,235.4,Confirmed planets,19/06/14
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2013,0.02,1.021,604.0,Gliese 163 d,0.0636,126.915,Confirmed planets,19/06/14
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2019,0.03,0.7,349.0,Gliese 163 e,0.0428,,Confirmed planets,21/04/10
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2019,0.04,0.326,109.5,Gliese 163 f,0.0214,,Confirmed planets,21/04/10
RV,Gliese 176 is a red dwarf located in the constellation Taurus. It has half the mass of our Sun. The planet consists mainly of rock but probably has a thick gas atmosphere.,2454399.79,2007,0,0.066,8.7836,Gliese 176 b,0.0264,0,Confirmed planets,16/02/03
RV,The star Gliese 170 is located in the constellation Orion. The planet was discovered with the Keck Observatory on Mauna Kea in Hawaii.,2455140,2010,0.21,2.41,2288,Gliese 179 b,0.82,153,Confirmed planets,16/03/09
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2013,0.0,0.0428,3.8728,Gliese 221 b,0.027,360.0,Confirmed planets,21/04/11
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2013,0.31,0.435,125.94,Gliese 221 c,0.17,41.0,Confirmed planets,21/04/11
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2014,0.02,1.06,487.0,Gliese 221 d,0.0582,275.0,Confirmed planets,21/04/11
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2019,0.03,0.03,2.3946,Gliese 221 e,0.0104,,Confirmed planets,21/04/11
RV,The star Gliese 3021 is a binary star in the constellation of Hydrus.,,2000,0.511,0.49,133.71,Gliese 3021 A b,3.37,,Confirmed planets,14/06/24
RV,"Gliese 328 b is an eccentric two Jupiter-mass planet with an orbital period of eleven years. The discovery is based on ten years' worth of radial velocity data from the Hobby-Eberly and Harlan J. Smith telescopes at McDonald Observatory, and from the Keck Telescope at Mauna Kea. It is currently the most massive, longest-period planet discovered around a low-mass dwarf.",,2013,0.37,4.5,4100,Gliese 328 b,2.3,290,Confirmed planets,13/07/31
RV,"Two Neptune-mass planets orbit Gliese 3293, possibly together with a super-Earth planet. Gliese 3293 is a star with high proper motion.",,2014,0.09,0.1434,30.60,Gliese 3293 b,0.076,,Confirmed planets,14/11/25
RV,"Two Neptune-mass planets orbit Gliese 3293, possibly together with a super-Earth planet. Gliese 3293 is a star with high proper motion.",,2014,0.37,0.3644,123.98,Gliese 3293 d,0.07,,Confirmed planets,14/11/25
RV,"Two Neptune-mass planets orbit Gliese 3293, possibly together with a super-Earth planet. Gliese 3293 is a star with high proper motion.",,2014,0.13,0.1939,48.14,Gliese 3293 c,0.027,,Controversial,14/11/25
RV,Gliese 3341 is a star with high proper motion and is orbited by a super-Earth planet.,,2014,0.31,0.089,14.207,Gliese 3341 b,0.02,,Confirmed planets,14/11/25
transit,The planet Gliese 3470 b is a transiting Hot Uranus orbiting a nearby M-dwarf. The planet was originally seen in HARPS radial velocity data and then confirmed to be a transiting planet. Spitzer observations show that it has a very low density.,,2012,0.017,0.031,3.3366487,Gliese 3470 b,0.04320,1.70,Confirmed planets,15/04/29
RV,,,2011,0.08,0.0287,2.64561,Gliese 3634 b,0.022,,Confirmed planets,11/02/07
transit,The star Gliese 436 is located in the constellation Leo. Due to tidal forces the planet Gliese 436b is expected to circularise on short timescales. It might be perturbed by an additional planet in the system.,,2004,0.1616,0.0286,2.64389803,Gliese 436 b,0.07992,327.2,Confirmed planets,17/12/22
transit,"The star Gliese 436 is located in the constellation Leo. While observing the already known planet Gliese 436 b with the Spitzer Space Telescope, astronomers identified two sub-Earth sized candidates, UCF-1.01 and UCF-1.02. Follow-up observations by Stevenson et al. (2014) failed to find the planet.",,2012,,,1.365862,UCF-1.01,,,Controversial,17/12/22
transit,"The planet candidate UCF-1.02 was identified based on the detection of two possible transits separated by 151 days. This is insufficient to determine an orbital period, and the candidate has not been confirmed.",,2012,,,,UCF-1.02,,,Controversial,17/12/22
RV,"The observations of this super-Earth were made with the Italian TNG, operated on the island of La Palma, Spain; the CARMENES instrument installed at the 3.5 m telescope of the Calar Alto Observatory, Spain; the robotic APT2 located at Serra La Nave on Mt. Etna, Italy; and the T90 telescope at Sierra Nevada Observatory, Spain.",,2019,0.363000,0.090500,13.85080000,Gliese 49 b,0.01771,43.0000,Confirmed planets,19/06/13
imaging,"Gliese 504 b is a massive planet or brown dwarf orbiting a G-type star. Initial estimates of the system's age based on the rotation of the star suggested the object was around 4 Jupiter masses. Other properties of the star indicate that it is likely several billions of years old, resulting in higher mass estimates for the companion. The rapid rotation may have been caused by the star engulfing a hot Jupiter.",,2013,,,,Gliese 504 b,,,Confirmed planets,17/12/04
RV,"Gliese 581 is a red dwarf in the constellation Libra. It is the 89th closest star to the Solar System. In late 2010, US astronomers annoucent a planet in the habitable zone. This statement has been challenged by the European HARPS team. Gliese 581 c is likely to have a runaway greenhouse effect. A radio message has been sent to Gliese 581 in 2008 and will reach the star system in 2029.",,2005,,0.04061,5.3686,Gliese 581 b,0.049702,,Confirmed planets,14/07/04
RV,"Gliese 581 is a red dwarf in the constellation Libra. It is the 89th closest star to the Solar System. In late 2010, US astronomers annoucent a planet in the habitable zone. This statement has been challenged by the European HARPS team. Gliese 581 c is likely to have a runaway greenhouse effect. A radio message has been sent to Gliese 581 in 2008 and will reach the star system in 2029.",,2007,,0.0721,12.914,Gliese 581 c,0.017301,,Confirmed planets,14/07/04
RV,A new analysis shows that there is no signal of the planet Gliese 581 d after stellar activity reduction.,,2007,0.25,0.22,66.64,Gliese 581 d,0.019,,Retracted planet candidate,14/07/04
RV,"Gliese 581 is a red dwarf in the constellation Libra. It is the 89th closest star to the Solar System. In late 2010, US astronomers annoucent a planet in the habitable zone. This statement has been challenged by the European HARPS team. Gliese 581 c is likely to have a runaway greenhouse effect. A radio message has been sent to Gliese 581 in 2008 and will reach the star system in 2029.",,2009,,0.02815,3.1490,Gliese 581 e,0.0061,,Confirmed planets,14/07/04
RV,Gliese 581 f is an unconfirmed planet. Its discovery was announced in 2010 by the Lick-Carnegie Exoplanet Survey. However an analysis by the European HARPS team concluded that the system is unlikely to contain a planet with the quoted characteristic.,,2010,0,0.758,433,Gliese 581 f,0.0220199,,Retracted planet candidate,14/07/04
RV,A new analysis shows that there is no signal of the planet Gliese 581 d after stellar activity reduction.,,2010,0,0.146,36.5,Gliese 581 g,0.0097516,,Retracted planet candidate,14/07/04
RV,Gliese 649 is a red dwarf with about half the mass and size of our Sun in the constellation Hercules.,,2009,0.3,1.135,598.3,Gliese 649 b,0.328,,Confirmed planets,09/12/17
RV,The radial velocity data for GJ 649 is compatible with either a single eccentric planet or a two-planet system with lower eccentricities.,,2013,0.20,0.043,4.4762,GJ 649.02,0.030,334,Controversial,15/04/23
RV,"Gliese 667 is a nearby triple star system in the constellation Scorpius, about 22 light years away. The star Gliese 667 C hosts at least six planets. Three of them, all Super-Earths, are located in the habitable zone. The habitable zone is so densely packed that any additional planet is likely to destabilize the system. This planet, Gliese 667 C b, is located too close to the star and not in the habitable zone.",,2009,0.13,0.0505,7.2004,Gliese 667 C b,0.017616,5.729578,Confirmed planets,13/06/25
RV,"Gliese 667 is a nearby triple star system in the constellation Scorpius, about 22 light years away. The star Gliese 667 C hosts at least six planets. Three of them, all Super-Earths, are located in the habitable zone. The habitable zone is so densely packed that any additional planet is likely to destabilize the system. This planet, Gliese 667 C h has yet to be confirmed.",,2013,0.06,0.0893,16.946,Gliese 667 C h,0.003460,114.591559,Controversial,13/06/25
RV,"Gliese 667 is a nearby triple star system in the constellation Scorpius, about 22 light years away. The star Gliese 667 C hosts at least six planets. Three of them, all Super-Earths, are located in the habitable zone. The habitable zone is so densely packed that any additional planet is likely to destabilize the system. This planet, Gliese 667 C c, is located on the inner edge of the habitable zone.",,2009,0.02,0.125,28.140,Gliese 667 C c,0.011954,292.208476,Confirmed planets,13/06/25
RV,"Gliese 667 is a nearby triple star system in the constellation Scorpius, about 22 light years away. The star Gliese 667 C hosts at least six planets. Three of them, all Super-Earths, are located in the habitable zone. The habitable zone is so densely packed that any additional planet is likely to destabilize the system. This planet, Gliese 667 C f, is right in the middle of the habitable zone.",,2013,0.03,0.156,39.026,Gliese 667 C f,0.008493,103.132403,Controversial,13/06/25
RV,"Gliese 667 is a nearby triple star system in the constellation Scorpius, about 22 light years away. The star Gliese 667 C hosts at least six planets. Three of them, all Super-Earths, are located in the habitable zone. The habitable zone is so densely packed that any additional planet is likely to destabilize the system. This planet, Gliese 667 C e, is close the outer edge of the habitable zone.",,2013,0.02,0.213,62.24,Gliese 667 C e,0.008493,28.647890,Controversial,13/06/25
RV,"Gliese 667 is a nearby triple star system in the constellation Scorpius, about 22 light years away. The star Gliese 667 C hosts at least six planets. Three of them, all Super-Earths, are located in the habitable zone. The habitable zone is so densely packed that any additional planet is likely to destabilize the system. This planet, Gliese 667 C d, is located outside the habitable zone and therefore to cool to host liquid water on its surface.",,2013,0.03,0.276,91.61,Gliese 667 C d,0.016043,40.107046,Controversial,13/06/25
RV,"Gliese 667 is a nearby triple star system in the constellation Scorpius, about 22 light years away. The star Gliese 667 C hosts at least six planets. Three of them, all Super-Earths, are located in the habitable zone. The habitable zone is so densely packed that any additional planet is likely to destabilize the system. This planet, Gliese 667 C g, is outside the habitable zone and cannot host liquid water on its surface.",,2013,0.08,0.549,256.2,Gliese 667 C g,0.014470,51.566202,Controversial,13/06/25
RV,Gliese 674 is a pre main sequence star in the constellation of Ara.,,2007,0.2,0.039,4.6938,Gliese 674 b,0.037,,Confirmed planets,07/04/25
RV,The star system Gliese 676 is located in the constellation Ara. This  planet was confirmed using a Bayesian probability analysis. It is a small Super-Earth.,,2012,0.15,0.0413,3.6000,Gliese 676 A d,0.014,,Confirmed planets,12/12/05
