distance,rightascension,name,constellation,declination,binaries,planets,stars
194,21 43 24.9003,HD 206610,Aquarius,-07 24 29.7120,0.0,1.0,1.0
35.49,03 20 03.57791,HD 20782,Fornax,-28 51 14.6651,1.0,3.0,2.0
54.4,21 52 36.2809,HD 207832,Pisces Austrinus,-26 01 35.6132,0.0,2.0,1.0
28.25,21 40 44.7824,HD 207897,Cepheus,+84 20 00.5629,0.0,1.0,1.0
6.00,03 19 55.6509,HD 20794,Eridanus,-43 04 11.2174,0.0,4.0,1.0
45,21 57 19.8475,HD 208487,Grus,-37 45 49.0479,0.0,1.0,1.0
320.2,21 56 23.9845,HD 208527,Pegasus,+21 14 23.4863,0.0,1.0,1.0
46.2,03 20 42.69404,HD 20868,Fornax,-33 43 48.3916,0.0,1.0,1.0
64.68,21 58 59.6916,HD 208897,Pegasus,+19 01 13.0880,0.0,1.0,1.0
47,22 03 10.7729,HD 209458,Pegasus,+18 53 03.5482,0.0,1.0,1.0
42.25,22 09 34.6127,HD 210193,Grus,-41 13 29.6177,0.0,1.0,1.0
21.29,22 09 29.8657,HD 210277,Aquarius,-07 32 55.1630,0.0,1.0,1.0
54.9,22 11 51.33086,HD 210702,Pegasus,+16 02 25.9903,0.0,1.0,1.0
83.29,22 15 15.5952,HD 211403,Cepheus,+58 16 31.7699,0.0,1.0,1.0
64.76,22 18 06.5393,HD 211810,Cepheus,+61 08 03.9706,0.0,1.0,1.0
13.00,22 22 16.2060,HD 211970,Grus,-54 33 38.2064,0.0,1.0,1.0
52.7,22 27 30.9215,HD 212301,Octans,-77 43 04.5298,0.0,1.0,1.0
131,22 27 03.0722,HD 212771,Aquarius,-17 15 49.1631,0.0,1.0,1.0
40.75,22 31 00,HD 213240,Grus,-49 25 59,1.0,1.0,2.0
64.5728,22 30 49.9738,HD 213472,Lacerta,+48 43 19.00,0.0,1.0,1.0
41.0014000,22 31 05,HD 213519,Lacerta,+45 08 43,0.0,1.0,1.0
47.97,22 35 56.3150,HD 213885,Tucana,-59 51 52.0758,0.0,2.0,1.0
29.16,03 26 11.1178,HD 21411,Fornax,-30 37 04.1295,0.0,1.0,1.0
94.43,22 40 19.8703,HD 214823,Pegasus,+31 47 15.3456,0.0,1.0,1.0
21.61,22 43 21.3028,HD 215152,Aquarius,-06 24 02.9557,0.0,4.0,1.0
38,22 46 08.0342,HD 215456,Grus,-48 58 43.7623,0.0,2.0,1.0
44,22 46 36.7539,HD 215497,Tucana,-56 35 58.3284,0.0,2.0,1.0
33.3,22 53 37.9322,HD 216435,Grus,-48 35 53.8246,0.0,1.0,1.0
26.5,22 54 39.4829,HD 216437,Indus,-70 04 25.3566,0.0,1.0,1.0
19.56,22 47 31.8765,HD 216520,Cepheus,+83 41 49.2992,0.0,2.0,1.0
380.3,22 53 03.9725,HD 216536,Lacerta,+44 28 39.8755,0.0,1.0,1.0
38,22 55 53.7082,HD 216770,Pisces Austrinus,-26 39 31.5480,0.0,1.0,1.0
32.4,03 27 12.4819,HD 21693,Reticulum,-58 19 25.2482,0.0,2.0,1.0
20.00,22 58 15.5409,HD 217107,Pisces,-02 23 43.3871,0.0,2.0,1.0
54.9,23 03 08.205,HD 217786,Pisces,-00 25 46.66,1.0,1.0,2.0
65.90,23 02 36.6763,HD 217850,Cassiopeia,+58 52 33.5377,0.0,1.0,1.0
61.7957000,23 04 33,HD 217958,Pisces Austrinus,-25 41 30,0.0,1.0,1.0
28.55,23 09 10.72771,HD 218566,Pisces,-02 15 38.6775,0.0,1.0,1.0
29,23 14 06.5879,HD 219077,Tucana,-62 42 00.0124,0.0,1.0,1.0
6.546,23 13 16.97632,HD 219134,Cassiopeia,+57 10 06.0823,0.0,7.0,1.0
,23 13 27.00,HD 219139,Pegasus,+11 14 54.00,0.0,1.0,1.0
166,23 14 53.8203,HD 219415,Cassiopeia,+56 43 49.1686,0.0,1.0,1.0
94.43,23 18 13.6298,HD 219666,Tucana,-56 54 14.0358,0.0,1.0,1.0
71.4,23 18 46.7340,HD 219828,Pegasus,+18 38 44.6151,0.0,2.0,1.0
290.2,23 20 14.3786,HD 220074,Cassiopeia,+61 58 12.4646,0.0,1.0,1.0
64.53,23 21 58.2870,HD 220197,Pegasus,+16 37 57.1380,0.0,1.0,1.0
44.6,23 25 52.9921,HD 220689,Aquarius,-20 36 57.7012,0.0,1.0,1.0
49,23 26 27.4448,HD 220773,Pegasus,+08 38 37.8392,0.0,1.0,1.0
65.06,23 26 36.9880,HD 220842,Cassiopeia,+56 53 11.4908,0.0,1.0,1.0
52.9,23 31 20.3381,HD 221287,Tucana,-58 12 35.0324,0.0,1.0,1.0
95.08,23 32 08.0724,HD 221416,Aquarius,-21 48 05.1168,0.0,1.0,1.0
31.17,23 33 19.5788,HD 221420,Octans,-77 23 07.1958,0.0,1.0,1.0
