distance,rightascension,name,constellation,declination,binaries,planets,stars
88.9,12 20 43.0255,11 Com,Coma Berenices,+17 47 34.3392,0.0,1.0,1.0
122.1,15 17 05.88899,11 UMi,Ursa Minor,+71 49 26.0466,0.0,1.0,1.0
79.2,23 31 17.41346,14 And,Andromeda,+39 14 10.3092,0.0,1.0,1.0
18.1,16 10 24.3152,14 Her,Hercules,+43 49 03.4987,0.0,2.0,1.0
21.146,19 41 48.95343,16 Cygni,Cygnus,+50 31 30.2153,2.0,1.0,3.0
75.3,20 58 25.93397,18 Del,Delphinus,+10 50 21.4289,0.0,1.0,1.0
145,16 09 30,1RXS1609,Scorpius,-21 04 58,0.0,1.0,1.0
133,14 07 47.93,1SWASP J1407,Centaurus,-39 45 42.7,0.0,1.0,1.0
96.25,14 28 37.8130,24 Boo,Boötes,+49 50 41.4610,0.0,1.0,1.0
74.8,10 23 28.3693,24 Sex,Sextans,-00 54 08.0771,0.0,2.0,1.0
128.1,04 37 21.73,2M0437,Taurus,+26 51 01.07,0.0,1.0,1.0
145,04 41 45.652,2M 044144,Taurus,+23 01 58.07,2.0,1.0,3.0
12.21,07 46 42.562,2M 0746+20,Gemini,+20 00 32.18,0.0,1.0,1.0
59,12 07 33.4676,2M1207,Centaurus,-39 32 54.0160,0.0,1.0,1.0
197.2,12 52 51.00,2M 1252+2735,Coma Berenices,+27 35 13.00,0.0,1.0,1.0
,12 53 01.00,2M 1253+2734,Coma Berenices,+27 34 19.00,0.0,1.0,1.0
,12 58 23.00,2M 1258+2630,Coma Berenices,+26 30 09.00,0.0,1.0,1.0
400.8,19 38 32.6,2M 1938+4603,Cygnus,+46 03 59,1.0,1.0,2.0
25,21 40 29,2M 2140+16,Pegasus,+16 25 18,0.0,1.0,1.0
26.67,22 06 22.802,2M 2206-20,Aquarius,-20 47 05.90,0.0,1.0,1.0
36,01 22 50.938,2MASS 0122-2439,Cetus,-24 39 50.65,0.0,1.0,1.0
26.7,00 30 30.13,2MASS J0030-1450,Cetus,-14 50 33.40,0.0,1.0,1.0
47.20,01 03 36,2MASS J01033563-5515561 A,Phoenix,-55 15 56,0.0,1.0,1.0
39.4,02 19 22.10,2MASS J0219-3925,Phoenix,-39 25 22.5,0.0,1.0,1.0
48.9,02 49 56.3884942122,2MASS J02495639-0557352,Eridanus,-05 57 35.410808361,1.0,1.0,2.0
38.0,00 59 00.35,2MASS J0459-2853,Sculptor,-28 53 39.65,0.0,1.0,1.0
,06 02 34.48,2MASS J06023447-0034369,Orion,-00 34 36.92,0.0,1.0,1.0
16.1,06 42 05.59,2MASS J0642+4101,Auriga,+41 01 60.00,0.0,1.0,1.0
9.34,07 18 08.71,2MASS J0718-6415,Volans,-64 15 31.09,0.0,1.0,1.0
25.0,08 09 59.04,2MASS J0809+4434,Lynx,+44 34 21.61,0.0,1.0,1.0
,09 51 26.90,2MASS J0951-8023,Chamaleon,-80 23 55.30,0.0,1.0,1.0
,11 19 32.54,2MASS J1119-1137,Crater,-11 37 46.70,0.0,1.0,1.0
,19 35 47.43,2MASS J19354742+4803549,Cygnus,+48 03 54.91,0.0,1.0,1.0
17.6316,20 02 50.71,2MASS J2002-0521,Aquila,-05 21 52.58,0.0,1.0,1.0
16.9,21 17 14.31,2MASS J2117-2940,Microscopium,-29 40 03.42,0.0,1.0,1.0
34.4,22 06 25.20,2MASS J2206+3301,Pegasus,+33 01 14.44,0.0,1.0,1.0
74.00,22 36 24.5254,2MASS J22362452+4751425,Lacerta,+47 51 42.5312,0.0,1.0,1.0
45.20,02 37 00.52363,30 Ari,Aries,+24 38 49.9957,3.0,1.0,4.0
33.3,12 53 11.1564,38 Vir,Virgo,-03 33 11.1481,0.0,1.0,1.0
96.5,18 25 59.13734,42 Dra,Draco,+65 33 48.5288,0.0,1.0,1.0
14.063,10 59 27.97282,47 UMa,Ursa Major,+40 25 48.9202,0.0,3.0,1.0
78.5,08 40 12.81767,4 UMa,Ursa Major,+64 19 40.5700,0.0,1.0,1.0
29.4,04 37 36.13234,51 Eri,Eridanus,-02 28 24.7749,2.0,1.0,3.0
14.7,22 57 27.9804,51 Peg,Pegasus,+20 46 07.7822,0.0,1.0,1.0
12.5901,08 52 35.8113282132,55 Cancri,Cancer,+28 19 50.956901366,1.0,5.0,2.0
3.4955011,21 06 53.9,61 Cygni,Cygnus,+38 44 58,1.0,0.0,2.0
8.52,13 18 24.31427,61 Vir,Virgo,-18 18 40.3047,0.0,3.0,1.0
55.8,06 30 47.10797,6 Lyn,Lynx,+58 09 45.4809,0.0,1.0,1.0
18.1,13 28 25.80861,70 Vir,Virgo,+13 46 43.6386,0.0,1.0,1.0
81.4,02 32 09.42200,75 Cet,Cetus,-01 02 05.6236,0.0,1.0,1.0
19.75,06 36 41.0375,7 CMa,Canis Major,-19 15 21.1659,0.0,2.0,1.0
92.5,02 37 42.80105,81 Cet,Cetus,-03 23 46.2201,0.0,1.0,1.0
17.79,11 26 45.32180,83 Leonis,Leo,+03 00 47.1551,1.0,2.0,2.0
159.1,14 56 48.3536,8 Ursae Minoris,Ursa Minor,+74 54 03.3212,0.0,1.0,1.0
45.93,23 15 53.49482,91 Aquarii,Aquarius,-09 05 15.8546,2.0,1.0,3.0
144.0,04 55 46.00,AB Aur,Auriga,+30 33 04.00,0.0,1.0,1.0
45.5,06 19 12.9129,AB Pic,Pictor,-58 03 15.5248,0.0,1.0,1.0
4.9660227,10 19 36.2808,AD Leonis,Leo,+19 52 10,0.0,0.0,1.0
20.18,02 07 10.40570,alf Ari,Aries,+23 27 44.7032,0.0,1.0,1.0
20.43,04 35 55.20,alf Tau,Taurus,+16 30 35.1,1.0,1.0,2.0
1.295,14 39 36.204,Alpha Centauri,Centaurus,-60 50 08.23,2.0,5.0,3.0
9.79,20 45 09.5323,AU Mic,Microscopium,-31 20 27.2417,0.0,1.0,1.0
1.8266391,17 57 48.4997,Barnard's Star,Ophiucus,+04 41 36,0.0,0.0,1.0
292.8,17 25 56.00,BD+02.3313,Ophiucus,+02 05 27.00,0.0,1.0,1.0
1106.9,11 50 15.5526,BD+03 2562,Virgo,+02 45 36.4417,0.0,1.0,1.0
42.5,10 00 47.72035,BD-08 2823,Sextans,-09 31 00.0340,0.0,2.0,1.0
65.19,10 58 28.7798,BD-10 3166,Crater,-10 46 13.3917,0.0,1.0,1.0
27.30,18 33 28.8322,BD-11 4672,Scutum,-11 38 09.7218,0.0,2.0,1.0
48.36,21 13 35.99143,BD+14 4559,Pegasus,+14 41 21.7994,0.0,1.0,1.0
610,11 45 55.7138,BD+15 2375,Leo,+14 36 58.9267,0.0,1.0,1.0
508,16 00 22.93827,BD+15 2940,Serpens,+15 32 48.9291,0.0,1.0,1.0
35.7,00 28 34.30654,BD-17 63,Cetus,-16 13 34.8458,0.0,1.0,1.0
25.4,07 23 43.5892,BD+20 1790,Gemini,+20 24 58.6545,0.0,1.0,1.0
,10 16 44.8635,BD+20 2457,Leo,+19 53 29.0096,0.0,2.0,1.0
1383.9,01 43 40.8760,BD+20 274,Pisces,+21 00 19.0277,0.0,1.0,1.0
173.0,03 34 36.2296,BD+20 594,Taurus,+20 35 57.2697,0.0,1.0,1.0
41.20,09 02 30.6419,BD+26 1888,Cancer,+25 53 21.9299,0.0,1.0,1.0
53.6220000,02 11 46.8786,BD+45 564,Andromeda,+45 55 27.2985,0.0,1.0,1.0
892.1,02 42 50.4643,BD+48 738,Perseus,+49 35 13.0796,0.0,1.0,1.0
678.94,02 42 58.2182,BD+48 740,Perseus,+48 55 48.2258,0.0,1.0,1.0
447.6,03 02 33.7362,BD+49 828,Perseus,+49 43 47.9632,0.0,1.0,1.0
52.5697000,01 35 50.7830,BD+55 362,Cassiopeia,+56 41 56.9727,0.0,1.0,1.0
44.957,12 43 33.00,BD+60 1417,Draco,+69 00 51.84,0.0,1.0,1.0
38.0473000,18 05 35.5657,BD+63 1405,Draco,+63 40 08.1792,0.0,1.0,1.0
93.0,08 16 30.92101,beta Cancri,Cancer,+09 11 07.9579,0.0,1.0,1.0
19.75,05 47 17.0876,beta Pic,Pictor,-51 03 59.4411,0.0,2.0,1.0
40.14,14 50 42.32580,beta Ursae Minoris,Ursa Minor,+74 09 19.8142,0.0,1.0,1.0
168,05 55 10.30536,Betelgeuse,Orion,+07 24 25.4304,0.0,0.0,1.0
23.1,14 58 29,CFBDS 1458,Boötes,+10 13 43,0.0,1.0,1.0
40,21 49 47,CFBDSIR2149,Aquarius,-04 03 08,0.0,1.0,0.0
137,16 27 44,CFHTWIR-Oph 98 A,Ophiucus,-23 58 52,0.0,1.0,1.0
191.048,11 06 28.7626,CHXR 73,Chamaleon,-77 37 33.1444,0.0,1.0,1.0
158.7,04 33 52.0144,CI Tau,Taurus,+22 50 30.0937,0.0,1.0,1.0
10.89,07 49 13.00,COCONUTS-2,Chamaleon,-76 42 07.00,0.0,1.0,1.0
345,19 24 15.2868,CoRoT-10,Aquila,+00 44 46.0039,0.0,1.0,1.0
560,18 42 44.9499,CoRoT-11,Serpens,+05 56 15.6521,0.0,1.0,1.0
1150,06 43 03.7631,CoRoT-12,Monoceros,-01 17 47.1435,0.0,1.0,1.0
1310,06 50 53.0726,CoRoT-13,Monoceros,-05 05 11.1901,0.0,1.0,1.0
1340,06 53 41.8086,CoRoT-14,Monoceros,-05 32 09.6828,0.0,1.0,1.0
840,18 34 05.9188,CoRoT-16,Scutum,-06 00 09.2447,0.0,1.0,1.0
920,18 34 47.8213,CoRoT-17,Scutum,-06 36 44.1119,0.0,1.0,1.0
870,06 32 41.3777,CoRoT-18,Monoceros,-00 01 53.7256,0.0,1.0,1.0
800,06 28 08.0586,CoRoT-19,Monoceros,-00 10 14.5323,0.0,1.0,1.0
460,06 48 19.1724,CoRoT-1,Monoceros,-03 06 07.7104,0.0,1.0,1.0
864,06 30 52.9022405280,CoRoT-20,Monoceros,+00 13 36.858471822,0.0,2.0,1.0
1398.8,06 44 12.6302,CoRoT-21,Monoceros,-00 17 56.9870,0.0,1.0,1.0
592.0,18 42 40.1113,CoRoT-22,Serpens,+06 13 08.9834,0.0,1.0,1.0
600,18 39 07.8405,CoRoT-23,Serpens,+04 21 28.0346,0.0,1.0,1.0
600,06 47 41.4116,CoRoT-24,Monoceros,-03 43 09.4837,0.0,2.0,1.0
1000,18 42 31.1200,CoRoT-25,Ophiucus,+06 30 49.7463,0.0,1.0,1.0
1670,18 39 00.1185,CoRoT-26,Ophiucus,+06 58 11.3304,0.0,1.0,1.0
1035.2,18 33 58.9993,CoRoT-27,Serpens,+05 32 18.3232,0.0,1.0,1.0
560,18 34 45.2033,CoRoT-28,Serpens,+05 34 25.3913,0.0,1.0,1.0
765,18 35 36.5004,CoRoT-29,Ophiucus,+06 28 46.6756,0.0,1.0,1.0
300,19 27 06.4944,CoRoT-2,Aquila,+01 23 01.3575,0.0,1.0,1.0
960.00,18 30 24.2837,CoRoT-30,Ophiucus,+06 50 09.3654,0.0,1.0,1.0
2190.00,06 19 16.9733,CoRoT-31,Monoceros,-04 25 20.1611,0.0,1.0,1.0
1140.0,19 17 15.00,CoRoT-35,Aquila,-02 46 29.00,0.0,1.0,1.0
954.0,18 30 60.00,CoRoT-36,Ophiucus,+07 11 01.00,0.0,1.0,1.0
680,19 28 13.2642,CoRoT-3,Aquila,+00 07 18.6143,0.0,1.0,1.0
741.6,06 48 46.7133,CoRoT-4,Monoceros,-00 40 21.9695,0.0,1.0,1.0
400,06 45 06.5406,CoRoT-5,Monoceros,+00 48 54.9068,0.0,1.0,1.0
657.2,18 44 17.4077,CoRoT-6,Ophiucus,+06 39 47.5138,0.0,1.0,1.0
159.9060000,06 43 49,CoRoT-7,Monoceros,-01 03 47,0.0,3.0,1.0
380,19 26 21.2426,CoRoT-8,Aquila,+01 25 35.1781,0.0,1.0,1.0
460,18 43 08.8101,CoRoT-9,Serpens,+06 12 14.9129,0.0,1.0,1.0
586.20,06 40 47,CoRoTID 223977153,Monoceros,+09 15 27,0.0,1.0,1.0
165,11 04 09.0989,CT Cha,Chamaleon,-76 27 19.3269,0.0,1.0,1.0
30.55,13 26 53.2714,DE CVn,Canes Venatici,+45 32 46.6870,0.0,1.0,1.0
4.8703631,02 55 03.7,DEN 0255-4700,Eridanus,-47 00 52,0.0,0.0,1.0
4.0450535,10 48 14.7,DEN 1048-3956,Antlia,-39 56 06,0.0,0.0,1.0
140.01,04 29 41.5520,DH Tau,Taurus,+26 32 58.1237,0.0,1.0,1.0
62.00,05 47 06.2667,DMPP-1,Orion,-10 37 48.8282,0.0,4.0,1.0
134.00,01 49 37.8897,DMPP-2,Fornax,-34 27 32.8726,0.0,1.0,1.0
48.90,06 06 30,DMPP-3 A,Mensa,-72 30 46,0.0,1.0,1.0
400,11 17 16,DP Leo,Leo,+17 57 41,1.0,1.0,2.0
44.12,23 39 39,DS Tuc A,Tucana,-69 11 45,0.0,1.0,1.0
3.5804910,08 29 49.3528,DX Cancri,Cancer,+26 46 37,0.0,0.0,1.0
134.00,11 20 33.8054,EPIC 201170410,Leo,-04 48 25.2140,0.0,1.0,1.0
233.4,11 38 58.953,EPIC 201208431,Virgo,-03 54 20.11,1.0,1.0,2.0
159.98,11 58 49.4307,EPIC 201238110,Virgo,-03 23 21.8679,0.0,1.0,1.0
331,11 36 02.7919,EPIC 201295312,Leo,-02 31 15.1678,0.0,1.0,1.0
181,11 17 12.8418,EPIC 201338508,Leo,-01 52 40.6879,0.0,2.0,1.0
343,11 52 46.142,EPIC 201384232,Virgo,-01 11 54.52,1.0,1.0,2.0
433,11 08 22.5045,EPIC 201393098,Leo,-01 03 56.7108,0.0,1.0,1.0
362,11 37 03.923,EPIC 201403446,Leo,-00 54 26.14,1.0,1.0,2.0
706.3910000,12 18 25,EPIC 201427007,Virgo,-00 33 05,0.0,1.0,1.0
405,11 19 10.4815,EPIC 201445392,Leo,-00 17 03.7334,0.0,2.0,1.0
110,11 45 03.4701,EPIC 201465501,Virgo,+00 00 19.0578,0.0,1.0,1.0
254.88,11 15 44.7913,EPIC 201497682,Leo,+00 29 17.2049,0.0,1.0,1.0
291,11 39 50.4804,EPIC 201505350,Virgo,+00 36 12.8773,0.0,3.0,1.0
251,11 26 03.6414,EPIC 201546283,Leo,+01 13 50.6635,0.0,1.0,1.0
249,11 20 24.739,EPIC 201549860,Leo,+01 17 09.44,1.0,2.0,2.0
506,11 47 58.1262,EPIC 201565013,Virgo,+01 30 36.9786,0.0,1.0,1.0
271,11 28 29.2704,EPIC 201577035,Leo,+01 41 26.2770,0.0,1.0,1.0
232.1000000,12 14 53,EPIC 201595106,Virgo,+01 58 05,0.0,1.0,1.0
332.5,11 16 10.0807,EPIC 201596316,Leo,+01 59 12.6325,0.0,1.0,1.0
294,11 32 46.0928,EPIC 201613023,Leo,+02 14 41.5879,0.0,1.0,1.0
111,11 57 57.9986,EPIC 201617985,Virgo,+02 19 17.3034,0.0,1.0,1.0
290,11 20 37.327,EPIC 201629650,Leo,+02 30 09.71,1.0,1.0,2.0
219,11 52 13.6904,EPIC 201635569,Virgo,+02 35 39.2372,0.0,1.0,1.0
225,11 17 55.856,EPIC 201637175,Leo,+02 37 06.79,1.0,1.0,2.0
673,11 40 57.791,EPIC 201702477,Virgo,+03 40 53.7,1.0,1.0,2.0
437,11 52 26.5887,EPIC 201736247,Virgo,+04 15 17.1235,0.0,1.0,1.0
577.60,11 35 45.2405,EPIC 201757695,Leo,+04 36 59.2103,0.0,1.0,1.0
146,11 42 37.042,EPIC 201828749,Virgo,+05 53 39.56,1.0,1.0,2.0
441.94,11 40 49.6245,EPIC 201841433,Virgo,+06 08 05.4394,0.0,1.0,1.0
134,11 53 19.1469,EPIC 201855371,Virgo,+06 24 44.1066,0.0,1.0,1.0
34,11 30 14.5176,EPIC 201912552,Leo,+07 35 18.2572,0.0,2.0,1.0
437,16 03 54.3405,EPIC 203311200,Scorpius,-26 33 13.4138,0.0,1.0,1.0
181,16 10 17.6977,EPIC 203771098,Scorpius,-24 59 25.2589,0.0,2.0,1.0
1768.000,16 13 48.2444,EPIC 203826436,Scorpius,-24 47 13.4278,0.0,3.0,1.0
110.9,16 21 45.7780,EPIC 204129699,Scorpius,-23 32 52.2897,0.0,1.0,1.0
193.7,16 00 08.0583,EPIC 204221263,Scorpius,-23 11 21.3272,0.0,2.0,1.0
145.0,16 10 14.7378,EPIC 205117205,Scorpius,-19 19 09.4072,0.0,1.0,1.0
65,22 41 12.8861,EPIC 206011691,Aquarius,-14 29 20.3490,0.0,2.0,1.0
373.81,22 05 06.5341,EPIC 206024342,Aquarius,-14 07 18.0134,0.0,1.0,1.0
162.09,22 44 57.7798,EPIC 206032309,Aquarius,-13 54 03.2712,0.0,1.0,1.0
457.27,22 30 03.2609,EPIC 206042996,Aquarius,-13 36 36.4158,0.0,1.0,1.0
110.22,22 20 22.7764,EPIC 206215704,Aquarius,-09 30 34.2934,0.0,1.0,1.0
317.20,22 30 28.2226,EPIC 206317286,Aquarius,-07 58 20.6494,0.0,1.0,1.0
63.1,22 22 29.8611,EPIC 206318379,Aquarius,-07 57 19.8535,0.0,1.0,1.0
125,03 40 54.8211,EPIC 210363145,Taurus,+12 34 21.4002,0.0,1.0,1.0
45.7,04 13 05.6134,EPIC 210490365,Taurus,+15 14 52.0138,0.0,1.0,1.0
179.4,04 10 40.8826,EPIC 211089792,Taurus,+24 24 06.3018,0.0,1.0,1.0
435.0,08 25 57.1875,EPIC 211391664,Cancer,+11 30 40.0834,0.0,1.0,1.0
187.2,08 41 38.4894,EPIC 211822797,Cancer,+17 38 24.0846,0.0,1.0,1.0
181.5,08 41 35.6914,EPIC 211901114,Cancer,+18 44 34.9793,0.0,1.0,1.0
181.5,08 41 22.5783,EPIC 211913977,Cancer,+18 56 01.9490,0.0,1.0,1.0
181.5,08 37 27.0563,EPIC 211916756,Cancer,+18 58 36.0229,0.0,1.0,1.0
182.69,09 06 17.7565,EPIC 211945201,Cancer,+19 24 08.0512,0.0,1.0,1.0
181.5,08 38 32.8360,EPIC 211969807,Cancer,+19 46 25.5913,0.0,1.0,1.0
181.5,08 40 13.4532,EPIC 211970147,Cancer,+19 46 43.7121,0.0,1.0,1.0
181.5,08 38 24.3004,EPIC 211990866,Cancer,+20 06 21.8283,0.0,1.0,1.0
423.35,13 48 49.4948,EPIC 212297394,Virgo,-17 36 35.6309,0.0,1.0,1.0
622.67,13 29 19.5433,EPIC 212424622,Virgo,-14 21 34.0230,0.0,1.0,1.0
285.61,13 29 57.3050,EPIC 212499991,Virgo,-12 44 05.0721,0.0,1.0,1.0
320.0700000,13 41 47,EPIC 212587672,Virgo,-10 51 45,0.0,2.0,1.0
561.9290000,14 02 33,EPIC 212624936,Virgo,-10 01 25,0.0,2.0,1.0
347.45,13 36 53.2097,EPIC 212737443,Virgo,-07 19 05.3513,0.0,2.0,1.0
604.0,13 55 05.7033,EPIC 212803289,Virgo,-05 26 32.9487,0.0,1.0,1.0
698.1,18 59 56.4921,EPIC 216468514,Sagittarius,-22 17 36.2448,0.0,1.0,1.0
152.0,19 16 15.9691,EPIC 218916923,Sagittarius,-17 54 38.4105,0.0,1.0,1.0
553.4,01 17 47.8306,EPIC 220504338,Pisces,+06 42 08,0.0,1.0,1.0
257.200,00 52 19.1416,EPIC 220674823,Pisces,+10 47 40.9037,0.0,2.0,1.0
340.24,12 32 32.9632,EPIC 228735255,Virgo,-09 36 27.4958,0.0,1.0,1.0
620.42,12 08 39.9335,EPIC 228754001,Virgo,-08 44 49.8466,0.0,1.0,1.0
95.0,12 27 28.9849,EPIC 228813918,Virgo,-06 11 42.8295,0.0,1.0,1.0
150.1240000,12 38 18,EPIC 228836835,Virgo,-05 14 41,0.0,1.0,1.0
230.36,23 24 32,EPIC 246193072,Aquarius,-05 09 51,0.0,1.0,1.0
336.70,05 15 40.7537,EPIC 246851721,Taurus,+16 16 43.5181,0.0,1.0,1.0
560.00,10 37 33.4202,EPIC 248847494,Leo,+11 50 33.8754,0.0,1.0,1.0
324.22,15 12 59.5618,EPIC 249893012,Libra,-16 43 28.1990,0.0,3.0,1.0
67.9,15 57 35.25147,eps Coronae Borealis,Corona Borealis,+26 52 40.3635,1.0,1.0,2.0
3.2161,03 32 55.84496,eps Eridani,Eridanus,-09 27 29.7312,0.0,1.0,1.0
3.6389,22 03 21.6542294981,Epsilon Indi,Indus,-56 47 09.537018193,2.0,1.0,3.0
44.96,04 28 36.99882,eps Tau,Taurus,+19 10 49.5446,0.0,1.0,1.0
37.99,01 08 35.39148,eta Cet,Cetus,-10 10 56.1570,0.0,2.0,1.0
3.4060348,22 38 33.4,EZ Aquarii,Aquarius,-15 17 57,2.0,0.0,3.0
130,19 12 04.86170,FL Lyr,Lyra,+46 19 26.8632,1.0,1.0,2.0
3000,19 10 22.2539,FN Lyr,Lyra,+42 27 31.6257,0.0,1.0,1.0
7.704,22 57 39,Fomalhaut,Pisces Austrinus,-29 37 20,2.0,1.0,3.0
140,04 23 35.3912,FU Tau,Taurus,+25 03 02.7418,0.0,1.0,1.0
145,04 29 30,FW Tau,Taurus,+26 16 53,1.0,1.0,2.0
15.986,21 46 41.00,G 264-012,Cepheus,+66 48 21.00,0.0,2.0,1.0
27.93,08 58 52,G 9-40,Cancer,+21 04 34,0.0,1.0,1.0
207.2,07 22 56.48,Gaia-2,Camelopardalis,+67 15 09.58,0.0,1.0,1.0
13.523,23 39 20.85153,gamma Cephei,Cepheus,+77 37 56.1876,1.0,1.0,2.0
38.5,10 19 58.427,Gamma Leonis,Leo,+19 50 28.53,1.0,1.0,2.0
47.43,15 35 31.5788,gamma Libra,Libra,-14 47 22.3278,0.0,2.0,1.0
,21 17 10.00,gam Psc,Equuleus,+03 16 56.00,0.0,1.0,1.0
3.83,02 53 00.8913,GAT 1370,Aries,+16 52 52.6420,0.0,2.0,1.0
3.67,03 35 59.6996,GJ 1061,Horologium,-44 30 45.7252,0.0,3.0,1.0
12.62,10 14 51.7783,GJ 1132,Vela,-47 09 24.1897,0.0,2.0,1.0
11.0143000,11 41 44.6360,GJ 1148,Ursa Major,+42 45 07.1048,0.0,2.0,1.0
8.034,11 50 57.7214,GJ 1151,Ursa Major,+48 22 38.5624,0.0,1.0,1.0
20.38,20 27 42.0813,GJ 1252,Telescopium,-56 27 25.1566,0.0,1.0,1.0
10.26,22 13 42.8628,GJ 1265,Aquarius,-17 41 08.6764,0.0,1.0,1.0
16.33,03 26 59.2228,GJ 143,Reticulum,-63 29 56.7618,0.0,2.0,1.0
25.88,04 06 34.8414,GJ 160.2,Eridanus,-20 51 11.2259,0.0,1.0,1.0
11.94,04 53 49.9799,GJ 180,Eridanus,-17 46 24.3092,0.0,3.0,1.0
28.47,07 12 04.8089,GJ 2056,Canis Major,-24 53 31.4919,0.0,1.0,1.0
5.75,06 10 34.61533,GJ 229,Lepus,-21 51 52.7117,1.0,2.0,2.0
5.58,06 54 48.9577,GJ 251,Gemini,+33 16 05.4385,0.0,1.0,1.0
23.62,00 39 58.8243,GJ 27.1,Phoenix,-44 15 11.5824,0.0,1.0,1.0
3.8,07 27 24.50,GJ 273,Canis Minor,+05 13 32.8,0.0,2.0,1.0
16.63,01 14 34.1967,GJ 3082,Phoenix,-53 56 31.6106,0.0,1.0,1.0
22.444,01 21 45.00,GJ 3090,Phoenix,-46 42 52.00,0.0,1.0,1.0
28.49,02 09 10.9012,GJ 3138,Cetus,-16 20 22.5287,0.0,3.0,1.0
15.10,08 40 59.2055,GJ 317,Pyxis,-23 27 22.5986,0.0,2.0,1.0
18.2381700,03 23 35,GJ 3222,Eridanus,-40 04 34,0.0,1.0,1.0
5.38,05 01 57.4261,GJ 3323,Eridanus,-06 56 46.3718,0.0,2.0,1.0
6.33,09 14 24.6830,GJ 338 B,Ursa Major,+52 41 10.9061,0.0,1.0,1.0
27.39,08 02 22.8828,GJ 3473,Canis Minor,+03 20 19.6922,0.0,2.0,1.0
9.49,08 41 20.1289,GJ 3512,Ursa Major,+59 29 50.4448,0.0,1.0,1.0
9.44,09 36 01.6372,GJ 357,Hydra,-21 39 38.8782,0.0,3.0,1.0
9.4152,09 44 29.8366,GJ 367,Vela,-45 46 35.4255,0.0,1.0,1.0
13.75,13 22 56.7478,GJ 3779,Coma Berenices,+24 28 03.6025,0.0,1.0,1.0
15.83,15 58 19.00,GJ 3929,Corona Borealis,+35 24 24.00,0.0,2.0,1.0
7.0375,10 28 55.5513,GJ 393,Sextans,+00 50 27.6018,0.0,1.0,1.0
16.94,16 09 03.1411,GJ 3942,Draco,+52 56 37.9584,0.0,1.0,1.0
18.16,17 16 00.6367,GJ 3998,Ophiucus,+11 03 27.6136,0.0,2.0,1.0
2.5461299,11 03 20.1940,GJ 411,Ursa Major,+35 58 11.568,0.0,2.0,1.0
11.8893000,11 11 06,GJ 414,Ursa Major,+30 26 43,1.0,2.0,2.0
12.67,11 16 00.2045,GJ 422,Carina,-57 32 51.5713,0.0,1.0,1.0
21.35,22 25 17.0663,GJ 4276,Cepheus,+59 24 49.8171,0.0,1.0,1.0
9.07,11 35 26.9474,GJ 433,Hydra,-32 32 23.8830,0.0,3.0,1.0
14.24,12 38 52.4409,GJ 480,Virgo,+11 41 46.1457,0.0,1.0,1.0
8.0761,12 47 56.6249,GJ 486,Virgo,+09 45 05.0319,0.0,1.0,1.0
7.6177800,13 30 01,GJ 514,Virgo,+10 22 21,0.0,1.0,1.0
10.03,14 01 03.1881,GJ 536,Virgo,-02 39 17.5149,0.0,1.0,1.0
6.49,16 25 24.6233,GJ 625,Draco,+54 18 14.7657,0.0,1.0,1.0
5.079,17 37 03.66242,GJ 682,Scorpius,-44 19 09.1697,0.0,2.0,1.0
14.32,17 35 34.4785,GJ 685,Draco,+61 40 53.6265,0.0,1.0,1.0
4.55,17 36 25.8991,GJ 687,Draco,+68 20 20.9041,0.0,2.0,1.0
15.5575000,18 35 18.3905,GJ 720 A,Lyra,+45 44 38.5365,0.0,1.0,1.0
3.520,18 42 46.69,GJ 725,Draco,+59 37 49.4,1.0,1.0,2.0
11.1017,18 58 00.00,GJ 740,Serpens,+05 54 29.2386,0.0,1.0,1.0
3.29,23 05 52.0354,GJ 887,Pisces Austrinus,-35 51 11.0587,0.0,2.0,1.0
6.2545,23 31 52.17898,GJ 896,Pegasus,+19 56 14.1505,1.0,1.0,2.0
4.47,02 00 12.9561,GJ 9066,Aries,+13 03 07.0212,0.0,2.0,1.0
30.686,20 13 51.8072,GJ 9689,Aquila,+13 23 19.7141,0.0,1.0,1.0
11.94,02 22 14.6440,GJ 96,Andromeda,+47 52 48.1102,0.0,1.0,1.0
20.5121000,21 01 39,GJ 9714,Microscopium,-32 31 30,0.0,1.0,1.0
29.69,23 27 04.8376,GJ 9827,Pisces,-01 17 10.5856,0.0,3.0,1.0
14.96,10 02 21.7516,Gl 378,Ursa Major,+48 05 19.6871,0.0,1.0,1.0
8.16,17 37 53.3467,Gl 686,Hercules,+18 35 30.1607,0.0,1.0,1.0
4.8493302,00 06 43.1972,Gliese 1002,Cetus,-07 32 22,0.0,0.0,1.0
4.9853386,00 15 28.11,Gliese 1005,Cetus,-16 08 01.6,1.0,0.0,2.0
13.0,17 15 19.00,Gliese 1214,Ophiucus,+04 57 50.00,0.0,1.0,1.0
4.6631005,19 53 54.2,Gliese 1245,Cygnus,+44 24 55,2.0,0.0,3.0
3.587,00 18 22.88532,Gliese 15,Andromeda,+44 01 22.6282,1.0,2.0,2.0
15.0,04 09 16.01,Gliese 163,Dorado,-53 22 24.96,0.0,5.0,1.0
9.42,04 42 55.77497,Gliese 176,Taurus,+18 57 29.4043,0.0,1.0,1.0
12.29,04 52 05.7323,Gliese 179,Orion,+06 28 35.5895,0.0,1.0,1.0
4.3453082,00 05 24.4278,Gliese 1,Sculptor,-37 21 27,0.0,0.0,1.0
