magK,magB,metallicity,magH,name,mass,magV,spectraltype,radius,magJ,temperature,planets
-1.49,0.72,0.20,-1.38,Alpha Centauri A,1.100,0.01,G2 V,1.227,-1.15,5790,0.0
-0.60,2.21,0.23,-0.49,Alpha Centauri B,0.907,1.33,K1 V,0.865,-0.01,5260,2.0
4.529,,,4.831,AU Mic,0.50,8.810,M1VE,0.75,5.436,3700.00,1.0
,,,,Barnard's Star,0.144,13.22,M4.0Ve,,,,0.0
,,0.1,,BD+02.3313,1.03,9.45,K2,8.47,,4425.0,1.0
6.021,10.79,-0.71,6.186,BD+03 2562,1.14,9.58,,32.35,6.960,4095.0,1.0
7.323,10.94,-0.07,7.498,BD-08 2823,0.74,9.86,K3V,,7.960,4746,2.0
8.124,10.88,0.382,8.30,BD-10 3166,0.85,10.01,K3.0 V,0.81,8.61,5393,1.0
6.867,11.21,-0.350,7.031,BD-11 4672,0.65,9.990,K7V,0.64,7.651,4550.00,2.0
7.336,10.66,0.10,7.455,BD+14 4559,0.86,9.66,K2V,,7.882,5008,1.0
7.718,11.3,-0.22,7.862,BD+15 2375,1.08,10.31,,8.95,8.372,4649,1.0
6.525,10.12,0.28,6.664,BD+15 2940,1.1,9.05,K0,14.7,7.154,4796,1.0
6.914,10.77,-0.03,7.027,BD-17 63,0.74,9.62,K5V,0.69,7.574,4714,1.0
6.879,11.08,0.30,7.032,BD+20 1790,0.63,10.001,K5Ve,,7.643,4410,1.0
6.420,10.99,-1.00,6.606,BD+20 2457,2.8,9.74,K2II,,7.299,4137,2.0
6.169,10.72,-0.46,6.337,BD+20 274,0.8,9.367,K5 III,17.3,7.003,4296,1.0
9.368,11.728,-0.15,9.432,BD+20 594,0.961,11.038,G,0.928,9.770,5766,1.0
7.336,10.87,0.02,7.437,BD+26 1888,0.76,9.76,K7,,7.912,4748,1.0
7.5570000,,-0.090,7.6450000,BD+45 564,0.81,9.6700000,K1,0.81,8.0630000,5004.00,1.0
5.904,10.35,-0.20,6.077,BD+48 738,0.74,9.139,K0III,11,6.704,4414,1.0
5.645,,-0.130,5.791,BD+48 740,1.09,8.699,K3III,10.33,6.385,4534.00,1.0
6.571,10.51,-0.19,6.729,BD+49 828,1.52,9.38,K0,7.6,7.246,4943,1.0
7.3310000,,0.180,7.4430000,BD+55 362,0.91,9.3800000,K3,0.90,7.8260000,5012.00,1.0
,,,,BD+60 1417,1.0,,,0.797,,4993.0,1.0
6.7800000,,-0.090,6.8950000,BD+63 1405,0.82,8.9600000,K0,0.80,7.3030000,5000.00,1.0
0.14,5.000,-0.29,0.28,beta Cancri,1.7,3.520,K4III,47.2,1.06,4092.1,1.0
3.526,4.03,,3.544,beta Pic,1.76,3.850,A5V,,3.669,,2.0
,3.55,-0.27,,beta Ursae Minoris,1.4,2.08,K4IIIvar,38.3,,4126,1.0
,,,,Betelgeuse,17.75,0.5,M1,800,,,0.0
,,,,CFBDS 1458,0.02,,T9.5,,,540.0,1.0
14.5930000,,,15.5740000,CFHTWIR-Oph 98 A,0.01,,M9-L1,0.24,16.7750000,2320.00,1.0
10.703,,,11.317,CHXR 73,0.35,,M3.25,,12.674,3840.0,1.0
7.793,15.09,,8.43,CI Tau,0.80,13.80,K4IVe,,9.480,,1.0
,,0.0,,COCONUTS-2,0.37,11.3,M3,0.388,,3406.0,1.0
11.782,16.676,0.26,11.929,CoRoT-10,0.89,15.216,K1V,0.79,12.567,5075.0,1.0
11.248,13.73,-0.03,11.416,CoRoT-11,1.27,12.80,F6V,1.37,11.589,6440.0,1.0
13.56,16.343,0.16,13.63,CoRoT-12,1.078,15.515,G2V,1.116,14.02,5675.0,1.0
13.38,15.33,0.01,13.406,CoRoT-13,1.09,15.04,G0V,1.01,13.710,5945.0,1.0
13.81,16.891,0.05,14.01,CoRoT-14,1.13,16.03,F9V,1.21,14.32,6035.0,1.0
12.85,17.85,0.19,12.98,CoRoT-16,1.098,16.03,G5V,1.19,13.496,5650.0,1.0
12.47,17.38,,12.62,CoRoT-17,1.04,15.88,G2V,1.59,13.17,5740.0,1.0
13.01,15.8,-0.1,13.08,CoRoT-18,0.95,15.00,G9V,1,13.441,5440.0,1.0
11.837,14.780,-0.02,11.961,CoRoT-19,1.21,14.007,F9V,1.65,12.324,6090.0,1.0
12.149,,-0.3,12.218,CoRoT-1,0.95,13.6,G0V,1.11,12.462,6298.0,1.0
12.513,15.41,0.14,12.652,CoRoT-20,1.14,14.66,G2V,1.02,12.991,5880,2.0
13.81,16.66,,13.98,CoRoT-21,1.29,15.84,FIV8,1.945,14.34,6200.0,1.0
11.988,14.740,0.17,12.099,CoRoT-22,1.099,13.944,G0IV,1.136,12.414,5939,1.0
12.36,16.0,0.05,12.450,CoRoT-23,1.14,15.63,G0V,1.61,12.944,5900.0,1.0
12.924,,0.3,13.05,CoRoT-24,0.91,,K1V,0.86,13.595,4950,2.0
12.846,15.806,-0.01,12.990,CoRoT-25,1.09,14.965,F9V,1.19,13.300,6040,1.0
13.261,16.839,0.01,13.358,CoRoT-26,1.09,15.756,G5,1.79,13.813,5590,1.0
12.98,,0.1,13.17,CoRoT-27,1.05,,G2,1.08,13.571,5900,1.0
11.032,14.994,0.15,11.143,CoRoT-28,1.01,13.775,G8/9IV,1.78,11.601,5150,1.0
13.048,16.705,0.20,13.120,CoRoT-29,0.97,15.560,K0V,0.90,13.565,5260,1.0
10.31,13.422,,10.44,CoRoT-2,0.97,12.568,G7V,0.902,10.783,5575.0,1.0
13.562,,0.020,13.551,CoRoT-30,0.98,15.650,G3V,0.91,14.019,5650.00,1.0
13.426,,0.000,13.469,CoRoT-31,1.25,,G2IV,2.15,13.908,5700.00,1.0
,,-0.5,,CoRoT-35,1.01,15.7,F3V,1.65,,6390.0,1.0
,,-0.1,,CoRoT-36,1.32,13.1,,1.52,,6730.0,1.0
11.62,14.199,-0.02,11.71,CoRoT-3,1.37,13.292,F3V,1.56,11.94,6740,1.0
12.29,,0.05,12.359,CoRoT-4,1.1,13.7,F8V,1.15,12.619,6190.0,1.0
12.546,14.67,-0.25,12.61,CoRoT-5,1.00,14,F9V,1.186,12.871,6100.0,1.0
12.119,14.68,-0.2,12.228,CoRoT-6,1.05,13.80,F5V,1.025,12.518,6090.0,1.0
9.8060000,,0.050,9.8800000,CoRoT-7,0.82,11.7280000,G9V,0.83,10.3010000,5275.00,3.0
11.463,16.096,0.3,11.641,CoRoT-8,0.88,14.797,K1V,0.77,12.154,5080.0,1.0
11.688,14.57,-0.01,11.813,CoRoT-9,0.99,13.46,G3V,0.94,12.175,5625.0,1.0
12.193,,0.000,12.250,CoRoTID 223977153,1.08,,G0VI,0.79,12.519,5970.00,1.0
8.661,13.44,,8.944,CT Cha,,12.36,K7,,9.715,5150.0,1.0
8.555,,,8.797,DE CVn,0.51,,,,9.392,,1.0
,,,,DEN 0255-4700,0.045,24.44,L7.5V,,,,0.0
,,,,DEN 1048-3956,0.08,19.37,M8.5V,,,,0.0
8.178,15.23,,8.824,DH Tau,0.4,13.71,M0.5V,,9.767,3840.0,1.0
6.690,,,6.746,DMPP-1,1.21,7.981,F8V,1.26,7.001,6196.00,4.0
7.437,,,7.482,DMPP-2,1.44,8.567,F5V,1.78,7.703,6500.00,1.0
7.061,,0.180,7.193,DMPP-3 A,0.87,9.066,K0V,0.91,7.588,5138.00,1.0
,,,,DP Leo A,0.6,17.5,AM Her,0.0144,,13500,0.0
,,,,DP Leo B,0.09,,,,,3000,0.0
6.676,,0.000,6.759,DS Tuc A,1.01,8.469,G6V,0.96,7.122,5428.00,1.0
,,,,DX Cancri,0.09,16.98,M6.5Ve,,,,0.0
12.619,,-0.048,12.856,EPIC 201170410,0.29,,,0.28,13.464,3648.00,1.0
