magK,magB,metallicity,magH,name,mass,magV,spectraltype,radius,magJ,temperature,planets
6.646,8.640,0.366,6.729,HD 33283,1.24,8.05,G3V,1.2,6.983,5995.0,1.0
3.911,5.547,-0.12,4.201,HD 33564,1.25,5.08,F6 V,1.1,4.416,6250.0,1.0
4.945,8.33,0.27,5.132,HD 33844,1.78,7.29,K0 III,5.29,5.574,4861,2.0
5.790,7.97,0.14,5.848,HD 34445,1.07,7.33,G0 V,1.38,6.122,5836,6.0
6.319,8.33,0.04,6.388,HD 35759,1.15,7.74,G0,,6.606,6060,1.0
,,,,HD 360,,,G8III,,,,1.0
3.999,6.72,0.05,4.064,HD 3651,0.79,5.8,K0 V,0.947,4.549,5173.0,2.0
5.952,8.35,-0.442,6.021,HD 37124,0.83,7.68,G4 V,0.82,6.359,5610.0,3.0
6.82,9.52,0.39,6.92,HD 37605,1.00,8.69,K0V,,7.27,5448.0,2.0
5.267,7.26,-0.24,5.339,HD 38283,1.085,6.7,F9.5V,,5.645,5945.0,1.0
4.21,6.684,0.27,4.38,HD 38529 A,1.48,5.94,G4 IV,2.44,4.91,,2.0
,,,,HD 38529 B,0.5,,M3.0V,,,,0.0
6.279,9.14,0.250,6.372,HD 38801,1.21,8.224,K0,2.03,6.800,5338.00,1.0
4.405,6.59,,4.595,HD 38858,,5.97,G4V,,5.260,5940.0,1.0
4.241,6.25,0.08,4.42,HD 39091,1.094,5.67,G0V,1.10,4.87,6037,2.0
6.094,8.841,,6.212,HD 39194,,8.08,K0V,,6.598,5150.0,3.0
6.946,8.94,-0.32,7.012,HD 39392,1.08,8.38,F8,,7.280,5951,1.0
5.756,8.197,,5.836,HD 39855,0.87,7.470,G8V,,6.207,5576.00,1.0
4.793,8.097,-0.31,4.968,HD 40307,0.77,7.17,K2.5V,,5.412,4977,6.0
4.143,,0.140,4.177,HD 40956,2.00,6.423,K0,8.56,4.851,4869.00,1.0
5.45,7.29,0.194,5.51,HD 40979 A,1.1,6.74,F8 V,1.21,5.74,,1.0
,,,,HD 40979 B,0.833,,K5,,,,0.0
,,,,HD 40979 C,0.380,,,,,,0.0
6.43,9.49,-0.09,6.55,HD 41004 A,0.4,12.33,M2,,7.004,5035.0,1.0
,,,,HD 41004 B,0.7,,K1V,,,,0.0
,,,,HD 41004 B b,0.0181410,,,,,,0.0
6.289,8.61,0.2,6.345,HD 4113 A,1.05,7.880,G5V,,6.672,5688,1.0
,,,19.7,HD 4113 C,0.06279,,T9,,21.6,,0.0
8.539,14.19,,8.74,HD 4113 B,0.55,12.70,M0-1V,,9.447,3833,0.0
7.277,9.42,-0.43,7.284,HD 41248,0.92,8.82,G2V,0.78,7.606,5713,2.0
6.584,9.24,-0.09,6.687,HD 42012,0.83,,K0,0.82,7.045,5405.0,1.0
7.05,9.444,0.453,7.11,HD 4203,1.130,8.687,G5,1.33,7.39,5702,2.0
6.163,8.46,-0.284,6.24,HD 4208,0.87,7.79,G5 V,0.85,6.57,5571.0,1.0
5.301,7.496,-0.09,5.385,HD 42618,1.015,6.839,G4V,0.999,5.701,5727,1.0
4.945,7.193,-0.34,5.101,HD 4308,0.85,6.54,G5 V,0.92,5.366,5597.0,1.0
5.595,8.788,0.14,5.774,HD 4313,1.72,7.83,G5 D,4.9,6.159,5035.0,1.0
7.203,9.79,0.4,7.328,HD 43197,0.96,8.95,G8V,1,7.658,5508.0,1.0
6.700,8.59,0.28,6.777,HD 43691,1.38,8.03,G0IV,,6.976,6200.0,1.0
6.115,8.36,0.03,6.215,HD 44219,1,7.69,G2V,1.32,6.509,5752.0,1.0
4.871,,0.040,4.962,HD 45184,1.03,6.370,G1.5V,,5.219,5869.00,2.0
6.224,8.62,0.29,6.279,HD 45350,1.02,7.88,G5 IV,1.27,6.587,5754.0,1.0
6.316,8.82,-0.17,6.380,HD 45364,0.82,8.08,K0V,,6.748,5434.0,2.0
6.263,8.96,0.29,6.316,HD 45652,0.83,8.1,G8-K0,,6.703,5312.0,1.0
6.00,8.70,0.24,6.07,HD 46375 A,0.91,7.94,K1 IV,1,6.45,5199.0,1.0
,,,,HD 46375 B,0.58,,K9.5-M1.5,,,,0.0
6.005,8.36,0.23,6.100,HD 47186,0.99,7.8,G5V,,6.416,5675.0,2.0
3.691,6.84,0.01,3.717,HD 4732,1.74,2.04,K0 IV,5.4,4.338,4959,2.0
4.055,,-0.070,3.962,HD 47366,2.19,6.110,K1III,6.20,4.504,4914.00,2.0
2.383,6.43,-0.65,2.471,HD 47536,0.99,5.25,K1 III,23.47,3.179,4380.0,2.0
,,-0.91,,HD 4760,1.05,7.5,K2,42.4,,4076.0,1.0
6.449,8.78,0.17,6.529,HD 48265,0.93,8.07,G5V,,6.842,5940.0,1.0
5.610,,,5.707,HD 4917,1.32,8.030,K0III/IV,5.01,6.250,4802.00,1.0
,8.83,0.25,,HD 49674,1.07,8.1,G5 V,0.94,,5482.0,1.0
5.836,,0.260,5.884,HD 50499,1.25,7.207,G1V,1.35,6.152,6102.00,2.0
5.467,7.41,-0.07,5.516,HD 50554,1.04,6.86,F8,1.11,5.776,5902.0,1.0
6.328,8.947,,6.451,HD 51608,,8.17,K0IV,,6.813,5150.0,2.0
4.953,6.837,0.21,5.033,HD 52265,1.2,6.3,G0 V,1.25,5.242,6159.0,1.0
,,-0.12,,HD 5278,1.126,8.0,,1.194,,6203.0,2.0
5.699,9.03,0.15,5.864,HD 5319,1.51,8.05,G5IV,3.26,6.348,5052.0,2.0
6.591,8.54,0.370,6.686,HD 55696,1.29,7.950,G0V,1.52,6.900,6012.00,1.0
5.221,8.54,-0.50,5.340,HD 5583,1.01,7.60,K0,9.09,5.813,4830,1.0
3.826,6.990,0.06,3.880,HD 5608,1.55,5.999,K0IV,5.5,4.478,4854,1.0
8.8230000,,0.000,8.8540000,HD 56414,1.89,9.2170000,,1.75,8.8870000,8500.00,1.0
6.893,8.90,-0.2,6.983,HD 564,0.961,8.29,G2,1.01,7.218,5902,1.0
5.9860000,,,6.1250000,HD 56957,1.03,7.5700000,,1.78,6.3650000,5743.00,1.0
5.621,9.11,-0.02,5.725,HD 5891,1.91,8.11,G5D,8.7,6.239,4907.0,1.0
2.922,6.585,0.15,3.065,HD 59686 A,1.9,5.45,K2 III,13.2,3.630,4658,1.0
,,,,HD 59686 B,0.5296,,,,,,0.0
,,-0.17,,HD 60292,1.7,6.9,K0III,27.0,,4348.0,1.0
3.355,4.94,-0.26,3.318,HD 60532,1.44,4.45,F6IV-V,,3.703,6095.0,2.0
,2.15,0.19,,HD 62509,1.47,1.15,K0IIIb,9.3,,4666.0,1.0
6.2580000,,,6.3370000,HD 62549,1.08,7.7200000,,1.23,6.6040000,5930.46,1.0
5.258,,,5.359,HD 63433,0.99,6.900,G5V,0.91,5.624,5640.00,2.0
6.998,10.42,0.11,7.18,HD 63454,0.8,9.37,K4 V,,7.596,4841.0,1.0
6.316,8.85,-0.16,6.442,HD 63765,0.865,8.1,G9V,,6.768,5432.0,1.0
,,0.07,,HD 63935,0.933,8.58,,0.959,,5534.0,2.0
6.046,,,6.125,HD 64114,0.95,7.718,G7V,,6.478,5676.00,1.0
,,-0.21,,HD 64121,1.64,7.4,G8/K0III,5.44,,5966.0,1.0
6.187,8.32,-0.48,6.27,HD 6434,0.89,7.72,G3 IV,1.14,6.577,5690,1.0
,8.65,-0.12,,HD 65216,0.92,7.98,G5 V,,,5666.0,2.0
1.447,5.669,-0.36,1.553,HD 66141,1.1,4.39,K2 III,22,2.199,4305,1.0
,,0.31,,HD 66428,1.14552,8.25,G5,,,5752.0,2.0
6.866,8.55,0.25,6.905,HD 67087,1.36,8.04,F8V,1.55,7.098,6330,2.0
6.876,9.087,-0.06,6.99,HD 6718,0.96,8.45,G5V,1.02,7.269,5745.0,1.0
7.697,9.77,0.29,7.697,HD 68402,1.12,9.09,G5IV/V,1.02,7.984,5950.0,1.0
6.7430000,,0.350,6.8120000,HD 68988,1.28,8.2000000,G2V,1.19,7.0600000,5932.00,2.0
,,0.05,,HD 69123,1.68,5.8,,7.72,,4787.0,1.0
4.165,6.74,-0.05,4.364,HD 69830,0.86,5.95,K0V,0.895,4.953,5385.0,3.0
7.191,9.30,-0.18,7.276,HD 70573,1,8.7,G1-1.5V,,7.558,5737.0,1.0
5.574,7.89,0.16,5.67,HD 70642,1,7.17,G5 IV-V,0.84,5.954,5670.0,1.0
6.229,8.89,0.28,6.329,HD 7199,0.89,8.06,K0IV/V,0.96,6.664,5386.0,1.0
5.614,,,5.712,HD 72490,1.21,7.820,G5,4.96,6.162,4934.00,1.0
5.982,8.08,-0.02,6.089,HD 72659,1.068,7.47,G2 V,1.36,6.358,5926,1.0
7.216,9.50,0.25,7.323,HD 72892,1.02,8.79,G5V,1.22,7.606,5688.0,1.0
6.264,8.84,0.29,6.376,HD 73256,1.05,8.08,G8/K0,0.89,6.719,5570.0,1.0
7.062,9.66,0.03,7.126,HD 73267,0.89,8.87,G5V,1.04,7.493,5317,1.0
7.302,9.69,0.25,7.47,HD 73526,1.08,9,G6 V,1.49,7.708,5590.0,2.0
5.962,9.21,0.16,6.072,HD 73534,1.170,8.24,G5IV,2.65,6.524,4952,1.0
,,0.0,,HD 73583,0.66,9.67,K4V,0.71,,4511.0,2.0
6.21,8.194,0.131,6.28,HD 74156,1.238,7.61,G0,1.345,6.56,6068,2.0
6.084,8.08,-0.11,6.179,HD 7449 A,1.05,7.5,F8V,1.01,6.425,6024.0,2.0
10.93,,,11.29,HD 7449 B,0.15,,M4.5,,12.24,3000,0.0
5.06,6.94,0.29,5.13,HD 75289 A,1.05,6.35,G0 V,1.25,5.38,,1.0
,,,,HD 75289 B,0.14,,M3.5V,,,,0.0
5.502,,,5.626,HD 75784,1.26,7.840,G5,3.40,6.092,4867.00,2.0
6.662,8.67,0.27,6.738,HD 75898,1.28,8.04,G0,1.6,6.925,6021.0,1.0
6.5,8.88,0.14,6.613,HD 76700,1,8.13,G6 V,1.33,6.911,5726.0,1.0
5.253,,-0.110,5.409,HD 76920,1.17,7.817,K1III,7.47,5.946,4698.00,1.0
6.761,9.47,0.35,6.905,HD 77338,0.93,8.63,K0V,0.88,7.218,5370.0,1.0
,,,,HD 79181,,,G8III,,,,1.0
5.159,8.005,-0.15,5.231,HD 7924,0.832,7.185,K0V,0.7821,5.618,5075,3.0
6.530,8.726,0.24,6.574,HD 79498,1.06,8.03,G5,,6.851,5740.0,1.0
7.316,9.78,0.43,7.400,HD 80606,0.98,9.00,G5,0.978,7.702,5370,1.0
,,,,HD 80607,1,,G5,,,,0.0
8.018,10.12,,8.079,HD 80653,1.18,9.452,G2,1.22,8.315,,1.0
,,0.17,,HD 80869,1.08,8.45,G1V,1.062,,58.37,1.0
6.159,8.370,-0.16,6.268,HD 81040,0.96,7.72,G2/G3,0.86,6.505,5700.0,1.0
3.06,6.396,-0.359,3.27,HD 81688,2.1,5.413,K0III-IV,13,3.80,4753,1.0
0.779,,-0.170,0.890,HD 81817,4.30,4.300,K3III,83.80,1.698,4140.00,1.0
5.452,8.493,-0.31,5.563,HD 82886,1.06,7.78,G0,4.8,5.995,5112.0,1.0
,7.17,0.32,,HD 82943,1.13,6.54,G0,1.12,,5874.0,2.0
6.504,,,6.587,HD 8326,0.80,8.760,K2V,,7.052,4914.00,1.0
6.444,9.03,0.35,6.585,HD 83443,0.9,8.23,K0 V,1.04,6.876,5460.0,1.0
6.354,8.25,0.02,6.449,HD 8535,1.13,7.7,G0V,1.19,6.735,6136.0,1.0
6.491,9.40,-0.07,6.612,HD 85390,0.76,8.54,K1V,,7.012,5186.0,1.0
4.717,8.83,-0.33,4.998,HD 85512,0.69,7.67,K5V,,5.451,4715.0,1.0
5.78,7.684,0.05,5.82,HD 8574,1.17,7.12,F8,1.37,6.05,6080.0,1.0
7.299,9.34,0.257,7.425,HD 86081,1.21,8.73,F8V,1.22,7.628,6028.0,1.0
6.463,,0.018,6.577,HD 86226,1.02,7.932,G1V,1.05,6.839,5863.00,2.0
6.224,7.92,0.202,6.344,HD 86264,1.42,7.42,F7V,1.88,6.505,6210.0,1.0
5.17,6.78,,5.22,HD 8673 A,1.312,7.57,F7 V,1.54,5.44,6413.0,1.0
9.29,,,9.42,HD 8673 B,,,,,10.00,,0.0
,8.55,0.04,,HD 86950,1.66,7.46,K1 III,8.8,,4805.0,1.0
6.536,,-0.170,6.612,HD 87646,1.12,8.000,G,1.55,6.897,5770.00,1.0
5.314,8.54,0.093,5.441,HD 87883,0.82,7.57,K0V,0.76,5.839,4980.0,1.0
6.20,8.88,0.34,6.30,HD 88133,1.2,8.01,G5 IV,1.93,6.60,5494.0,1.0
5.56,7.590,-0.14,5.64,HD 89307,1.028,7.06,G0V,1.05,5.89,5950.0,1.0
7.721,,0.421,7.766,HD 89345,1.16,9.376,G5,1.75,8.091,5576.00,1.0
4.454,6.232,0.18,4.53,HD 89744 A,1.4,5.74,F7 V,2.14,4.86,,1.0
,,,,HD 89744 B,0.077,,L0V,,,,0.0
5.245,7.603,-0.24,5.382,HD 90156,0.84,6.95,G5V,,5.685,5599.0,1.0
,,0.39,,HD 9174,1.03,8.37,G8IV,1.67,,5577.0,1.0
5.721,,0.270,5.798,HD 92788,1.15,7.310,G6V,1.14,6.131,5744.00,2.0
5.517,,-0.080,5.613,HD 92987,1.08,7.030,G2/G3V,1.58,5.904,5770.00,1.0
6.132,9.27,0.15,6.26,HD 93083,0.7,8.3,K3 V,,6.694,4995.0,1.0
7.2900000,,-0.230,7.3700000,HD 93351,0.94,9.1200000,,0.91,7.7270000,5408.00,2.0
6.065,8.08,,6.135,HD 93385,,7.49,G2V,,6.405,5940.0,2.0
,,0.1,,HD 93963 A,1.109,,,1.043,,5987.0,2.0
6.85,9.03,0.09,6.89,HD 9446,1,8.35,G5V,1,7.21,5793.0,2.0
5.200,,,5.361,HD 94834,1.11,7.600,K0,4.20,5.818,4798.00,1.0
6.789,7.60,,6.867,HD 95086,1.7,7.36,A8,,6.906,7609,1.0
5.626,8.897,0.05,5.775,HD 95089,1.38,7.95,K0 IV,4.9,6.240,5002,2.0
5.022,9.43,-0.18,5.215,HD 95127,1.20,8.15,K0,20,5.855,4218,1.0
6.591,,0.040,6.729,HD 95338,0.83,8.611,K0.5V,0.87,7.099,5212.00,1.0
,,0.11,,HD 95544,1.09,8.39,G3V,1.088,,5722.0,1.0
6.798,8.788,0.11,6.89,HD 9578,1.12,8.21,G1V,,7.156,5940.0,1.0
7.956,10.722,0.41,8.040,HD 95872,0.95,9.895,K0V,,8.406,5312,1.0
6.050,9.09,-0.30,6.151,HD 96063,1.02,8.37,K0,4.5,6.607,5148.0,1.0
3.911,8.924,-0.24,4.124,HD 96127,0.91,7.407,K2III,35,4.887,4152,1.0
6.554,8.82,0.34,6.621,HD 96167,1.31,8.09,G5D,1.86,6.926,5770.0,1.0
4.995,7.11,,5.114,HD 96700,,6.5,G0V,,5.396,5940.0,2.0
,,-0.45,,HD 96992,0.96,8.6,K0,7.43,,4725.0,1.0
5.941,8.76,,6.665,HD 97048,2.40,8.447,Be9.5/AO,2.25,7.267,10000.00,1.0
5.734,8.569,-0.23,5.821,HD 97658,0.77,7.714,K1V,0.741,6.203,5119.0,1.0
5.813,8.992,-0.02,5.913,HD 98219,1.30,8.21,K0,4.5,6.420,4992.0,1.0
6.073,7.82,,6.170,HD 984,1.2,7.32,F7V,,6.402,6315.0,1.0
6.419,8.646,0.02,6.493,HD 98649,1.00,8.03,G4V,1.0,6.811,5759,1.0
6.028,,0.360,6.141,HD 98736,0.92,7.930,G5,0.93,6.486,5271.00,1.0
7.162,9.96,0.315,7.259,HD 99109,0.93,9.1,K0,,7.626,5272.0,1.0
,,,,HD 99283,,,K0III,,,,1.0
5.335,8.646,0.14,5.472,HD 99706,1.72,7.81,K0,5.4,5.918,4932.0,2.0
2.994,,0.310,3.107,HIP 105854,2.10,5.640,K2III,,3.813,4780.00,1.0
7.139,,,7.303,HIP 107772,0.63,10.540,M0V,,7.936,,1.0
3.292,6.632,0.03,3.366,HIP 107773,2.42,5.628,K1III,11.6,3.942,4945,1.0
7.652,10.42,-0.26,7.787,HIP 109384,0.78,9.63,G5,,8.157,5180,1.0
7.499,9.903,-0.12,7.511,HIP 109600,0.87,9.158,G5,,7.881,5530,1.0
,,0.06,,HIP 114933,1.39,7.25,K0III,5.27,,4824.0,1.0
8.029,11.10,-0.16,8.140,HIP 116454,0.775,10.19,K0,0.716,8.604,5089,1.0
7.072,9.24,-0.059,7.137,HIP 11915,0.993,8.58,,,7.426,5760,1.0
8.457,10.18,-1.9,8.516,HIP 11952,0.83,9.78,F2V,1.6,8.790,6040.0,2.0
6.736,11.651,-0.07,6.927,HIP 12961,0.67,10.31,M0V,,7.558,3840.0,1.0
8.512,10.426,-2.09,8.586,HIP 13044,0.8,9.94,F2,6.7,8.849,6025.0,1.0
6.828,9.26,0.26,6.964,HIP 14810,0.99,8.52,G5,1,7.202,5485.0,3.0
,,,,HIP 3206,,,K2V,,,,1.0
,,,,HIP 34222,0.62,,K7V,,,,1.0
6.674,,,6.803,HIP 35173,0.79,9.010,K2V,,7.263,4881.00,1.0
7.7100000,,,7.8750000,HIP 35965,0.78,10.1800000,,0.70,8.3710000,4836.00,1.0
6.169,,,6.372,HIP 38594,0.61,9.770,M0,,7.021,,2.0
,,-0.11,,HIP 41378,1.15,8.9,,1.4,,6199.0,6.0
6.533,,,6.718,HIP 4845,0.62,9.990,M0V,,7.417,,1.0
5.200,,,5.369,HIP 48714,0.58,8.970,M0.5Ve,,6.030,,1.0
7.669,11.29,0.1,7.775,HIP 5158,0.78,10.21,K5V,,8.28,4962.0,2.0
6.620,,,6.853,HIP 54373,0.57,10.380,K5V,,7.449,4021.00,2.0
6.6130000,,,6.7600000,HIP 55507,0.65,9.8000000,M0,0.72,7.3670000,4171.00,1.0
,,-0.03,,HIP 56640,1.04,7.9,K1III,4.93,,4769.0,1.0
6.286,10.09,0.09,6.408,HIP 57274,0.73,8.96,K5V,0.68,6.958,4640.0,3.0
,,,,HIP 5763,0.73,,K6V,,,,1.0
4.406,7.90,-0.31,4.581,HIP 63242,1.54,6.86,G8III,,5.045,4839,1.0
,,,,HIP 63734,1.21,,F7/8V,,,,1.0
7.578,10.20,0.25,7.648,HIP 65407,0.93,9.42,K0,,7.963,5460,2.0
,,,,HIP 65426,1.96,,A2V,1.77,,8840.0,1.0
4.453,7.78,0.16,4.689,HIP 65891,2.5,6.77,K0III,8.93,5.115,5000,1.0
8.290,,0.180,8.400,HIP 65 A,0.78,11.130,K4V,0.72,8.922,4590.00,1.0
8.164,,0.000,8.287,HIP 67522,1.22,9.802,G1V,1.38,8.587,5675.00,1.0
,,0.15,,HIP 67537,2.41,,K1III,8.69,,4985.0,1.0
3.751,7.21,-0.03,3.810,HIP 67851,1.30,6.17,K0III,5.87,4.48,4805,2.0
7.772,10.04,0.065,7.925,HIP 68468,1.05,9.36,G3V,,8.162,5857.0,2.0
6.790,11.798,,7.006,HIP 70849,0.63,10.36,K7V,,7.639,4105.0,1.0
12.415,,,,HIP 70849 B,0.05,,T4-T5,,15.533,,0.0
7.242,,,7.397,HIP 71135,0.66,10.542,M1,,8.039,4146.00,1.0
,,0.2,,HIP 74890,1.74,,K1III,5.77,,4850.0,1.0
,,-0.01,,HIP 75092,1.28,7.1,K0III,4.53,,4891,1.0
0.68,4.493,0.15,0.724,iota Draconis,1.4,3.31,K2 III,12.8,1.38,4445.0,1.0
,,,,HIP 77257,,,G0,,,,1.0
6.900,7.27,,6.931,HIP 78530,2.5,7.18,B9V,,6.925,10500,1.0
,,,,HIP 79098 A,2.5,,B9V,,,,0.0
,,,,HIP 79098 B,2.5,,B9V,,,,0.0
6.589,12.88,0.4,6.855,HIP 79431,0.49,11.34,M3V,,7.555,3191.0,1.0
5.290,8.98,-0.15,5.456,HIP 8541,1.17,7.88,K2III,7.83,6.012,4670.0,1.0
,,,,HIP 86221,0.79,,K5,,,,1.0
,,,,HIP 89474,,,G1V,,,,1.0
,,0.17,,HIP 90988,1.3,7.8,K1III,3.94,,4884.0,1.0
6.893,9.45,0.23,6.996,HIP 91258,0.95,8.65,G5V,1,7.310,5519,1.0
,,,,HIP 94235,,,,,,,1.0
,,0.27,,HIP 97166,0.898,,,0.836,,5198.0,2.0
5.090,8.34,0.29,5.227,HIP 97233,1.93,7.34,K0,5.34,5.671,5020,1.0
4.56,6.53,,4.60,HN Peg,1,6,G0V,,4.79,5940.0,1.0
4.851,,0.100,4.997,HR 5183,1.07,6.300,G0V,1.53,5.212,5794.00,1.0
4.138,5.97,0.25,4.32,HR 810,1.11,5.4,G0V pecul.,1.85,4.75,5997.0,1.0
5.149,,-0.140,5.225,HR 858,1.15,6.400,F6V,1.31,5.473,6201.00,3.0
5.240,6.21,-0.47,5.280,HR 8799,1.516,5.953,kA5hF0mA5 V,1.44,5.383,7193,4.0
,,,,HU Aqr A,0.80,,WD,,,,0.0
,,,,HU Aqr B,0.18,,M4V,,,,0.0
11.122,10.46,,11.093,HW Vir A,0.485,4.22,sdB+M,0.183,10.974,28488,0.0
,,,,HW Vir B,0.142,15.59,sdB+M,0.175,,3084,0.0
,,,,HW Vir (AB) C,0.01861844,,,,,,0.0
,,0.120,,IC 4651 9122,2.10,,,,,,1.0
,,,,ITG 15B,,,,,,,1.0
10.091,12.683,0.26,10.173,K2-105,1.01,11.752,,0.95,10.541,5434.0,1.0
10.561,,0.33,10.652,K2-108,1.121,12.3,,1.75,10.986,5474.0,1.0
9.607,12.834,-0.3,9.641,K2-110,0.724,11.915,,0.692,10.184,,1.0
9.377,,-0.460,9.477,K2-111,0.84,11.137,G2,1.25,9.768,5775.00,2.0
12.304,,0.390,12.386,K2-114,0.89,14.556,,0.84,12.835,5044.00,1.0
11.724,,-0.100,11.760,K2-115,0.95,13.362,G4,0.88,12.108,5657.00,1.0
7.875,,,8.020,K2-116,0.69,10.910,,0.67,8.597,4348.35,1.0
10.589,,-0.050,10.801,K2-117,0.54,14.655,M1.0V,0.51,11.447,3778.00,2.0
11.654,,,11.768,K2-118,0.76,14.049,,0.73,12.259,4726.29,1.0
12.174,,-0.050,12.265,K2-119,0.76,14.883,,0.71,12.841,4740.00,1.0
11.388,,,11.471,K2-120,0.69,14.045,,0.67,12.000,4349.90,1.0
10.616,14.391,-0.14,10.742,K2-121,0.727,13.319,,0.686,11.309,,1.0
9.275,,0.060,9.457,K2-122,0.62,13.150,M0,0.60,10.104,4027.00,1.0
11.055,,0.030,11.250,K2-123,0.62,14.781,,0.59,11.907,4035.00,1.0
11.975,,0.023,12.227,K2-124,0.39,,,0.39,12.838,3570.00,1.0
11.802,,,12.044,K2-125,0.49,16.122,,0.40,12.609,3654.47,1.0
9.712,14.154,-0.44,9.917,K2-126,0.610,12.918,,0.589,10.508,,1.0
12.793,16.00,-0.110,12.926,K2-127,0.72,15.037,,0.66,13.373,4575.00,1.0
9.815,13.749,-0.26,9.965,K2-128,0.687,12.627,,0.651,10.491,,1.0
8.852,,,9.102,K2-129,0.36,13.630,,0.36,9.697,3459.09,1.0
9.858,13.955,-0.24,9.989,K2-130,0.675,12.759,,0.644,10.562,,1.0
10.051,13.054,-0.15,10.122,K2-131,0.803,12.115,,0.765,10.570,,1.0
10.279,15.63,,10.487,K2-133,0.46,14.288,M1.5V,0.46,11.084,3655.00,4.0
8.38,,0.15,8.51,K2-136 A,0.74,,K5V,0.66,9.11,4499,3.0
13.03,,,13.47,K2-136 B,0.1,,M7/8V,0.1,14.1,,0.0
10.305,,0.134,10.384,K2-138,0.92,12.210,G8V,0.84,10.756,5283.00,6.0
8.401,,-0.060,8.524,K2-141,0.71,11.389,K7V,0.68,9.086,4599.00,2.0
11.370,17.87,,11.605,K2-146,0.33,16.248,M3.0V,0.33,12.183,3385.00,2.0
9.997,,0.190,10.186,K2-147,0.58,14.019,,0.55,10.835,3672.00,1.0
10.292,,-0.110,10.457,K2-148,0.65,13.507,,0.63,11.082,4079.00,3.0
10.561,,0.110,10.762,K2-149,0.59,14.484,M1.0V,0.57,11.452,3745.00,1.0
11.249,,0.090,11.487,K2-150,0.46,15.829,M2.5V,0.44,12.107,3499.00,1.0
10.117,,-0.190,10.335,K2-151,0.47,14.140,M1.5V,0.45,10.930,3695.00,1.0
10.096,,0.120,10.277,K2-152,0.63,13.728,M0.0V,0.61,10.956,4044.00,1.0
11.207,,-0.090,11.391,K2-153,0.55,14.979,M3.0V,0.53,12.023,3845.00,1.0
10.368,,0.210,10.519,K2-154,0.65,14.033,M0.0V,0.63,11.219,4097.00,2.0
9.496,,-0.300,9.686,K2-155,0.65,12.806,K7,0.58,10.274,4258.00,3.0
10.391,14.637,-0.33,10.572,K2-156,0.642,13.424,,0.616,11.139,,1.0
10.980,13.609,0.13,11.023,K2-157,0.940,12.823,,0.876,11.398,,1.0
9.974,,0.070,10.051,K2-158,0.92,11.774,,0.95,10.432,5503.00,2.0
9.978,12.570,-0.1,10.072,K2-159,0.886,11.994,,0.830,10.462,,1.0
11.037,13.303,0.07,11.087,K2-160,0.983,12.649,,0.914,11.427,,1.0
10.261,13.582,-0.03,10.352,K2-161,0.987,12.631,,2.57,10.852,,1.0
9.898,13.310,-0.09,9.904,K2-162,0.777,12.300,,0.726,10.517,,1.0
10.627,14.128,0.14,10.765,K2-163,0.826,13.129,,0.762,11.310,,1.0
9.775,11.802,-0.23,9.865,K2-164,1.181,11.235,,2.20,10.153,,1.0
9.536,12.449,-0.05,9.627,K2-165,0.835,11.331,,0.804,10.055,,3.0
10.637,,,10.715,K2-166,1.07,12.074,,,10.952,,2.0
6.887,8.769,-0.45,6.974,K2-167,1.02,8.239,,1.83,7.202,,1.0
10.549,,,10.589,K2-168,0.88,12.291,,0.83,10.957,5502.70,2.0
10.371,12.966,0.26,10.458,K2-169,0.986,12.229,,0.919,10.791,,1.0
12.087,,,12.207,K2-16,0.67,14.670,K3V,,12.764,,3.0
11.075,13.274,-0.11,11.144,K2-170,0.964,12.633,,0.98,11.445,,2.0
10.529,13.525,-0.09,10.614,K2-171,0.892,12.660,,1.72,11.101,,1.0
10.661,13.229,-0.06,10.760,K2-172,0.934,12.438,,0.869,11.098,,2.0
10.299,13.252,-0.25,10.386,K2-173,0.882,12.403,,0.843,10.778,,1.0
9.496,13.658,-0.24,9.649,K2-174,0.668,12.424,,0.639,10.231,,1.0
9.195,11.504,0.05,9.280,K2-175,1.095,10.836,,1.42,9.563,,1.0
10.726,13.768,0.15,10.807,K2-176,0.939,12.893,,0.864,11.226,,1.0
10.593,13.541,0.41,10.675,K2-177,1.211,12.645,,1.214,11.009,,1.0
10.292,13.276,0.09,10.426,K2-178,0.951,12.403,,0.887,10.786,,1.0
10.555,13.984,0.03,10.633,K2-179,0.824,12.956,,0.768,11.138,,1.0
10.677,13.334,-0.59,10.747,K2-180,0.730,12.601,,0.681,11.146,,1.0
11.026,13.494,0.42,11.082,K2-181,1.044,12.749,,0.999,11.438,,1.0
9.913,12.868,-0.01,9.994,K2-182,0.847,11.997,,0.790,10.408,,1.0
11.021,13.632,0.09,11.152,K2-183,0.942,12.846,,0.873,11.485,,3.0
8.380,11.227,-0.22,8.513,K2-184,0.819,10.345,,0.764,8.920,,1.0
10.680,12.878,-0.05,10.749,K2-185,0.976,12.215,,0.914,11.066,,1.0
10.774,12.951,0.06,10.840,K2-186,1.019,12.307,,0.981,11.142,,1.0
11.196,13.871,0.26,11.289,K2-187,0.967,13.081,,0.895,11.687,,4.0
11.149,13.219,0.16,11.246,K2-188,1.107,12.646,,1.11,11.502,,2.0
10.589,13.015,-0.01,10.701,K2-189,0.928,12.399,,0.862,11.038,,2.0
9.410,11.777,-0.19,9.447,K2-190,0.905,11.138,,0.912,9.834,,2.0
