name,positionangle,separation,binaries,planets,stars
Kepler-444,,,1.0,5.0,3.0
,,,0.0,0.0,2.0
Kepler-449,68.4,0.08,0.0,2.0,2.0
Kepler-450,,0.9,0.0,3.0,2.0
Kepler-47,,,0.0,3.0,2.0
Kepler-68,145.43,10.979,0.0,3.0,2.0
KIC 7177553,193.6,0.4104,2.0,1.0,4.0
KIC 7177553 A,,,0.0,1.0,2.0
KIC 7177553 B,,,0.0,0.0,2.0
KIC 9632895,,,0.0,1.0,2.0
KOI-1257,,,0.0,1.0,2.0
KOI-1299,20.86,0.8730,0.0,2.0,2.0
KOI-2939,176.02,2.89,1.0,1.0,3.0
KOI-2939 AB,,,0.0,1.0,2.0
,,,0.0,0.0,2.0
,,,0.0,0.0,2.0
,,,0.0,0.0,2.0
,,,0.0,1.0,2.0
,,,0.0,1.0,2.0
,,,0.0,2.0,2.0
,,,0.0,1.0,2.0
nu Oct,,,0.0,1.0,2.0
,,,0.0,2.0,2.0
,,,0.0,1.0,2.0
,,48,0.0,1.0,2.0
,,10.536,0.0,1.0,2.0
OGLE-2013-BLG-0723L,,1.74,0.0,1.0,2.0
,,2.96,0.0,1.0,2.0
PH-1,123,0.7,2.0,1.0,4.0
PH-1 A,,,0.0,1.0,2.0
PH-1 B,,,0.0,0.0,2.0
,,,0.0,0.0,2.0
Psi-1 Draconis,15.49,30.104,1.0,1.0,3.0
HD 162003,,,0.0,0.0,2.0
B1620-26,,,0.0,1.0,2.0
,,,2.0,0.0,4.0
,,,1.0,0.0,3.0
,,,0.0,0.0,2.0
Ross 458 AB,81.5,0.475,0.0,1.0,2.0
,,,0.0,0.0,2.0
ROXs 42 B,157.9,0.083,0.0,1.0,2.0
,,,0.0,1.0,2.0
,,,0.0,0.0,2.0
,,,0.0,0.0,2.0
SR 12,96,2.8,0.0,1.0,2.0
tau Boo,,,0.0,1.0,2.0
tau Gem,177,1.90,0.0,1.0,2.0
,,,4.0,0.0,6.0
,,,0.0,0.0,2.0
,,,2.0,0.0,4.0
,,,0.0,0.0,2.0
,,,0.0,0.0,2.0
,,,0.0,1.0,2.0
,,,0.0,1.0,2.0
,,,0.0,1.0,2.0
,,,0.0,3.0,2.0
TrES-2,136.325,1.1054,0.0,1.0,2.0
TrES-4,359.8,1.555,0.0,1.0,2.0
,150,52,0.0,4.0,2.0
VHS 1256-1257,173.3,0.1094,0.0,1.0,2.0
WASP-11,214.09,0.3425,0.0,1.0,2.0
,251.3,1.064,1.0,1.0,3.0
,84,0.0843,0.0,0.0,2.0
,,,0.0,1.0,2.0
WASP-14,102.210,1.4491,0.0,1.0,2.0
WASP-173,110.1,6.1,0.0,1.0,2.0
,,,0.0,1.0,2.0
WASP-1,1.953,1587,0.0,1.0,2.0
WASP-2,104.7,0.757,0.0,1.0,2.0
WASP-3,87.070,1.1910,0.0,1.0,2.0
WASP-70,167,3.3,0.0,1.0,2.0
,150,3.30,0.0,1.0,2.0
,99.6,1.48,0.0,1.0,2.0
WASP-8,170.948,4.5052,0.0,2.0,2.0
,,2700,0.0,2.0,2.0
,,,0.0,0.0,2.0
,342,31,0.0,4.0,2.0
